"Table 4 - Full list of first forenames given, Scotland, 2009",,,,
,,,,
Boys names,Number of babies,,Girls names,Number of babies
DECLYN,3,,CASSANDRA,3
DEE,1,,CASSANDRAANN,1
DEEGAN,1,,CASSEY,1
DEEJAY,2,,CASSI,1
DEIVIDAS,1,,CASSIA,2
DEKLYN,1,,CASSIDY,11
DEMPSEY,1,,CASSIE,16
DENHOLM,1,,CATARINA,1
DENIM,1,,CATE,4
DENIN,1,,CATHERINE,38
DENIS,3,,CATHERINE-ANN,1
DENIZ,1,,CATHLEEN,1
DENNI,1,,CATRIN,1
DENNIS,5,,CATRINA,1
DENO,1,,CATRIONA,27
DENVER,3,,CATRÌONA,1
DEREK,6,,CATTIANA,1
DEREKSHAN,1,,CAUREEN,1
DERMOT,1,,CAYDINCE,1
DERREN,3,,CAYLA,11
DERRICK,1,,CAYLEIGH,2
DERRIN,1,,CEARLAIT,1
DERRY,2,,CECILIA,1
DERRYL,1,,CECILY,2
DERRYN,3,,CEI,1
DERYN,1,,CEIANNA,1
DESHAWN,1,,CEILIDH,5
DEVIN,3,,CEIT,1
DEVLIN,2,,CEITIDH,2
DEVLYN,1,,CELESTE,3
DEVOM,1,,CELIA,2
DEVON,4,,CEREN,2
DEVON-JOHN,1,,CERRYS,1
DEVYN,2,,CERYIS,1
DEXTER,11,,CERYS,54
DHANIYAL,1,,CEYLAN,1
DHANUSH,1,,CEYLIN,1
DHILAN,1,,CHAILYN,1
DHILLON,1,,CHALA,1
DIARMID,1,,CHANEL,7
DIARMUID,1,,CHANELLE,7
DIEGO,3,,CHANNAH,1
DIEPREYE,1,,CHANTAE,1
DIESEL,1,,CHANTEL,3
DILAN,2,,CHANTELL,1
DILLON,18,,CHANTELLE,17
DIMITRIOS,1,,CHARA,1
DINGEN,1,,CHARDONNAY,1
DINGYANG,1,,CHARIS,7
DINIS,1,,CHARLEE,3
DINOSHAN,1,,CHARLEE-MARIE,1
DIPTARKA,1,,CHARLEIGH,2
DIVINE,2,,CHARLENE,1
DMITRY,1,,CHARLET,1
DOCHAS,1,,CHARLEY,38
DOCHY,1,,CHARLEY-LEIGH,1
DOLAN,2,,CHARLEY-MARIE,1
DOMANTAS,1,,CHARLEY-MAY,1
DOMHNALL,1,,CHARLI,8
DOMHNALL-ROSS,1,,CHARLIE,21
DOMINIC,22,,CHARLIE-ANNE,1
DOMINIK,15,,CHARLOTTA,1
DOMINYKAS,1,,CHARLOTTE,185
DON,1,,CHARLOTTE-ANN,1
DONAL,2,,CHARLTON,1
DONALD,20,,CHARLY,3
DONNACHA,1,,CHARLYE,1
DONNELL,1,,CHARMAINE,2
DONNI,1,,CHARU,1
DONNIE,2,,CHAWAN,1
DONNY,1,,CHAYA,1
DONOVAN,1,,CHEBIA,1
DORAN,1,,CHELSEA,29
DORIAN,2,,CHELSEY,6
DOUGAL,4,,CHELSI,3
DOUGLAS,19,,CHELSIE,3
DOUGLAS-JOHN,1,,CHENNAI,1
DOUGRAY,3,,CHENULI,1
DOYLE,1,,CHEREL,1
DRAVEN,1,,CHERIE,1
DRAYDEN,1,,CHERRY,1
DREAVYN,1,,CHERYL,5
DREW,18,,CHERYLLEIGH,1
DREWIE,1,,CHEUK,1
DREYDEN,1,,CHEYANNE,1
DRIMIT,1,,CHEYENNE,2
DRUMMOND,1,,CHI,1
DUANE-LEE,1,,CHIAMANDA,1
DUGALD,1,,CHIANNE,1
DUKE,1,,CHIARA,3
DULTACH,1,,CHIDUMEBI,1
DUNCAN,33,,CHIMAMANDA,1
DURRIN,1,,CHIMARISAEKPERE,1
DWAIPAYAN,1,,CHINAZOM,1
DYLAN,298,,CHINELO,1
DYLHAN,1,,CHINEMEREM,1
EA,1,,CHINONYELUM,1
EAMON,2,,CHINWENDUM,1
EASSA,1,,CHIOMA,2
EASTON,2,,CHIZARAM,1
EBAN,2,,CHLOE,400
EBEN,3,,CHLOE-ANN,1
EBENEZER,1,,CHLOE-CHRISTINA,1
EBIKAKIBOWEI,1,,CHLOE-LOUISE,1
EDAN,4,,CHLOE-MARIE,1
EDDIE,3,,CHRISSIE,1
EDE,1,,CHRISTAL,1
EDEN,3,,CHRISTELLE,1
EDGARAS,1,,CHRISTI,1
EDISON,2,,CHRISTIE,3
EDSON,1,,CHRISTINA,19
EDWARD,24,,CHRISTINA-MARIE,1
EDWIN,5,,CHRISTINA-MAY,1
EDWYN,1,,CHRISTINE,2
EESA,3,,CHRISTY,5
EFAN,1,,CHRYSTI,1
EFRAIM,1,,CIANA,1
EHSAAN,2,,CIARA,32
EIDEN,1,,CIARA-LEE,1
EIMANTAS,1,,CIARDHA,1
EISA,1,,CIERA,1
EITHAN,1,,CINDY,4
EKOW,1,,CIORSTAIDH,1
ELGHANNI,1,,CIRA,1
ELI,4,,CLAIRE,10
ELIAS,7,,CLARA,17
ELIJAH,10,,CLARABNELAH,1
ELIOT,2,,CLARE,7
ELISHA,1,,CLARE-MARIE,1
ELIUD,1,,CLARY,1
ELLIOT,56,,CLAUDIA,13
ELLIOTT,9,,CLEO,3
ELLIS,31,,CLERISE,1
ELMOTASSEM,1,,CLIO,2
ELOUAN,1,,CLODAGH,5
ELRASHEED,1,,CLOE,4
ELSADIG,1,,CLOVA,1
ELVIN,1,,COCO,1
ELVIS,1,,CODI,6
ELWOOD,1,,CODI-LEE,1
ELYOT,1,,CODI-LEIGH,1
ELYSEE,1,,CODIE,2
EMANUELE,1,,CODY,1
EMIL,1,,COHDI,1
EMILE,1,,COLAINE,1
EMILIO,1,,COLBI,1
EMMANUEL,9,,COLBIE,1
EMMETT,1,,COLEEN,1
EMRE,2,,COLETTE,3
EN,1,,COLLETTE,1
ENOCH,3,,COMFORT,1
ENRIKAS,1,,CONCETTA,1
ENZO,2,,CONNI,1
EOGHAINN,1,,CONNIE,29
EOGHAN,14,,CONSTANCE,7
EOIN,12,,COOPER,2
ERIC,8,,CORA,16
ERIK,3,,CORA-JAK,1
ERIKAS,1,,CORAL,3
ERIN,2,,CORDELIA,1
ERLAND,1,,CORI,3
ERLEND,1,,CORIN,1
ERNEST,1,,CORINA,1
ERYK,3,,CORINNA,1
ESAU,1,,CORINNE,1
ESHAAN,1,,CORNELIA,1
ESHAN,5,,CORRAGH,1
ESSA,1,,CORRIE,1
ETHAN,245,,CORRIN,1
ETHEN,1,,CORYNN,1
ETIENNE,1,,COSIMA,1
EUAN,136,,COURTNAY,1
EUANSON,1,,COURTNEY,54
EUGENE,1,,COURTNEY-LEI,1
EUNAN,1,,COURTNEY-LEIGH,2
EVAN,127,,CRISTINA,1
EVIN,2,,CRUZ,2
EVREN,1,,CRYSTAL,6
EWAN,137,,CULZEAN,1
EWEN,2,,CYDNIE,1
EZEKIEL,1,,CYNTHIA,2
EZRA,2,,D'ARCY,3
FABIAN,4,,DAEGAN,1
FABIO,3,,DAINA,1
FAHEEM,2,,DAISEE,1
FAI,1,,DAISIE,2
FAISAL,2,,DAISY,117
FAIZ,1,,DAISY-BRIDGET,1
FAIZAAN,1,,DAISY-MAE,3
FAIZAN,6,,DAISY-MILANA,1
FALLON,1,,DAISY-ROSE,1
FARHAN,6,,DAIYNA,1
FARIS,2,,DAKOTA,6
FELIKS,1,,DANA,11
FELIX,17,,DANAH,1
FEMI,1,,DANELEIGH,1
FERGAL,1,,DANI,3
FERGUS,49,,DANI-LEIGH,1
FERRIS,1,,DANIA,1
FHIONN,1,,DANIELA,2
FIDELIS,1,,DANIELLA,9
FIFE,1,,DANIELLE,42
FILIP,29,,DANIKA,1
FINAN,1,,DANIYA,1
FINDLAY,32,,DANNA,1
FINLAY,320,,DANNI,5
FINLEY,24,,DANNI-JO,1
FINN,76,,DANNI-LEIGH,1
FINNEGAN,1,,DANNI-MARIE,1
FINNIAN,1,,DANNIELLE,1
FINNLAY,2,,DANNII,1
FINNLEY,3,,DAOUIA,1
FINNLO,1,,DAPHNE,1
FINTAN,4,,DARA,5
FIONN,3,,DARBY,2
FIONNLAGH,1,,DARCEE,1
FLETCHER,12,,DARCEY,36
FLOYD,1,,DARCEY-LEIGH,1
FLYNN,16,,DARCI,3
FORBES,5,,DARCIE,14
FORTUNE,1,,DARCIE-ROSE,1
FOX,1,,DARCY,30
FRANCIS,7,,DARIA,3
FRANCISZEK,8,,DARICA,1
FRANCK,1,,DARIYA,1
FRANCO,2,,DARLA,1
FRANK,8,,DARLEY-JO,1
FRANKIE,5,,DARRAH,1
FRANKLIN,1,,DARYL,1
FRASER,134,,DASHA,1
FRASIER,1,,DAVINA,1
FRAZER,16,,DAWN,1
FREDDI,1,,DAYNA,2
FREDDIE,17,,DEANNA,4
FREDDY,4,,DEBBIE,2
FREDERIC,1,,DEBORAH,4
FREDERICK,13,,DEE,5
FULTON,1,,DEEONE,1
FUMIO,1,,DEFNE,1
FURQAN,1,,DEIMA,1
FYN,1,,DEJA,1
FYNLAY,1,,DELIA,1
FYNN,3,,DELICIA,1
FYNNLAY,1,,DELILAH,1
GA-HYUN,1,,DELLA,1
GABRIEL,49,,DELPHINA,1
GABRIEL-CRUZ,1,,DELPHINE,1
GABRIEL-MICHAEL,1,,DELYSIA,1
GABRIELE,1,,DEMI,50
GAGE,1,,DEMI-ELAINE,1
GAIUS,1,,DEMI-LEE,8
GALLAGHER,1,,DEMI-LEIGH,10
GARDINER,1,,DEMI-LOUISE,2
GARET,1,,DEMI-MARIE,1
GARETH,4,,DEMI-STAR,1
GARRY,10,,DEMILEE,1
GARVE,1,,DEMILEIGH,2
GARY,21,,DEMMI-LEE,1
GAURAV,2,,DEMPSEY,1
GAVIN,15,,DENNI,2
GAWIN,1,,DENNY,1
GED,1,,DENVER,1
GENE,2,,DEON,1
GEO,1,,DERI,1
GEOFFREY,2,,DERRI,3
GEORDIE,2,,DERRIE,1
GEORGE,62,,DERRY,1
GEORGI,1,,DERRYN,1
GEORGIOS,1,,DERVLA,1
GERALD,1,,DERYA,1
GERARD,5,,DERYN,2
GERRY,2,,DESIRE,1
GETHIN,2,,DESISLAVA,1
GHILLIE,1,,DESTINEE,1
GIANCARLO,1,,DESTINY,8
GIANLUCA,1,,DESTINYLOUISE,1
GIANNI,1,,DEVAN,1
GIBBIE,1,,DEVEN,2
GIDEON,1,,DEVON,6
GILBERT,2,,DEVYN,6
GILLEN,1,,DHERRI,1
GILLESPIE,1,,DHIYA,1
GILLIES,1,,DIANA,2
GILZEAN,1,,DIDEM,1
GIOVANNI,1,,DILARA,1
GISLI,1,,DINAH,1
GIULIO,1,,DINI,1
GLEN,19,,DINUKI,1
GLENN,6,,DION,2
GODWINER,1,,DIONE,1
GOMEZYANI,1,,DIONNE,6
GORDIE,1,,DIOR,2
GORDON,12,,DIVINE,2
GRACJAN,4,,DIVORA,1
GRAEME,8,,DIVYATA,1
GRAHAM,7,,DIXIE,2
GRANT,19,,DIYA,3
GRAYSON,3,,DOLCE,1
GREAT,1,,DONNA,5
GREER,1,,DORA,1
GREG,10,,DORI,1
GREGG,1,,DORIT,1
GREGGOR,1,,DOROTHEA,1
GREGOR,66,,DOROTHY,1
GREGORY,3,,DREW,1
GREIG,3,,DRU,1
GRIFFIN,2,,DUA,2
GRIGORY,1,,DUHAH,1
GRYFF,1,,DYARA,1
GRZEGORZ,2,,DYLAN,1
GURMALE,1,,DYLEN,1
GURPREET,1,,DYLLAN,1
GURSIMAR,1,,DYLNN,1
GURTEERITH,1,,DZESMINA,1
GURTEJ,1,,EABHA,1
GURTIG,1,,EADIE,1
GURVEER,1,,EALASAID,1
GUY,10,,EALF,1
GVIDAS,2,,EALIDH,1
HAAKON,1,,EARN,1
HAAMED,1,,EASTON,1
HABIB,2,,EAVAN,1
HABIBRAHMAN,1,,EBONI,2
HADEN,1,,EBONII,1
HADI,2,,EBONY,12
HADLEIGH,1,,EBONY-EILEEN,1
HADLEY,1,,EBONY-J,1
HADYN,1,,EBONY-RIECE,1
HAIDEN,5,,EBTEHAL,1
HAIDER,1,,EBTISAM,1
HAITLEY,1,,ECRIN,2
HAIYAN,1,,EDELE,1
HAKEEM,2,,EDEN,25
HAKIM,1,,EDEN-BLUE,1
HAKKI,1,,EDIE,6
HALIT,1,,EDIN,1
HAMID,1,,EDIT,1
HAMILTON,1,,EDITH,6
HAMISH,63,,EENA,1
HAMMAD,1,,EESHA,1
HAMMAM,1,,EEVIE,1
HAMZA,6,,EFFIE,2
HAMZAH,2,,EHONMWON,1
HAN,1,,EIDEEN,1
HANIF,1,,EILADH,1
HANZO,1,,EILAH,1
HAO,1,,EILEDH,1
HARAIDH,1,,EILEEN,1
HARI,2,,EILIDH,167
HARIS,9,,EILIDHI,1
HARISON,1,,EILIHD,1
HARITH,1,,EILIS,2
HARLAN,1,,EILISH,3
HARLEE,1,,EILISHA,1
HARLEY,33,,EILIYAH,1
HARMAN,1,,EIRENE,1
HAROLD,2,,EISHAH,1
HAROON,2,,EKAPARNIKA,1
HAROUN,1,,EKATERINA,1
HARPAL,1,,ELA,3
HARPER,3,,ELA-ROSE,1
HARPREET,1,,ELAIDA,1
HARRIS,112,,ELAINA,1
HARRIS-KERR,1,,ELAINE,2
HARRISEN,1,,ELANA,3
HARRISON,64,,ELARA,1
HARRY,207,,ELAYNAH,1
HARRY-CHARLES,1,,ELEANOR,26
HARSHAD,1,,ELEANOR-ANNA,1
HARVEY,79,,ELECTRA,1
HARVIE,2,,ELENA,12
HASAN,6,,ELEONOR,1
HASEEB-UR-REHMAN,1,,ELEYA,1
HASHAR,1,,ELEYNA,1
HASHIM,1,,ELHAM,1
HASNAIN,1,,ELIA,1
HASSAN,6,,ELIANA,3
HASTYER,1,,ELIANE,1
HATEM,1,,ELIANNA,1
HAYDEN,59,,ELICE,1
HAYDN,3,,ELICIA,1
HAYDYN,3,,ELIKA,1
HAYTHAM,2,,ELIN,1
HAYYAN,1,,ELINA,1
HEATH,2,,ELINOR,2
HECTOR,11,,ELIOT,1
HEILYN,1,,ELIS,2
HEKTORAS,1,,ELISA,3
HEMANT,1,,ELISABETH,4
HEMISH,1,,ELISABETH-ANNE,1
HENDRY,1,,ELISABETTA,1
HENLEIGH,1,,ELISE,44
HENRY,39,,ELISHA,3
HERKUS,1,,ELISHEVA,1
HERMAN,1,,ELISSA,3
HERMON,1,,ELISYA,1
HESTON,1,,ELIZA,13
HO,2,,ELIZABETE,1
HOI,1,,ELIZABETH,72
HOLDEN,1,,ELIZE,2
HONGYU,1,,ELKA,1
HOWARD,1,,ELLA,126
HOWIE,4,,ELLA-JANE,2
HUANG,1,,ELLA-JAY,1
HUBERT,5,,ELLA-LOUISE,1
HUDSON,3,,ELLA-MAY,1
HUGH,18,,ELLA-ROSE,2
HUGHIE,3,,ELLANA,1
HUGO,14,,ELLE,13
HUMZA,2,,ELLE-JADE,1
HUNTER,7,,ELLE-JAY,1
HUSNAN,1,,ELLE-MAE,1
HUSSAIN,3,,ELLEN,19
HUSSAN,1,,ELLEN-BELLE,1
HUW,1,,ELLEN-PAIGE,1
HUZIFA,1,,ELLENA,1
HYELDA,1,,ELLESE,1
IAIN,23,,ELLI,3
IAN,26,,ELLIE,312
IAN-DERRY,1,,ELLIE-ANNA,1
IANTO,1,,ELLIE-BROOKE,1
IBRAHEEM,2,,ELLIE-JAE,1
IBRAHIM,10,,ELLIE-JAY,2
IBRAUHEEM,1,,ELLIE-KATE,1
IDREES,1,,ELLIE-LEE,2
IEUAN,1,,ELLIE-LOUISE,7
IFEANYICHUKWU,1,,ELLIE-MAE,2
IGNACY,1,,ELLIE-MAI,2
IGNAS,1,,ELLIE-MAY,3
IGOR,4,,ELLIE-NICOLE,1
IHECHIKARA,1,,ELLIE-ROSE,3
IJAZ,1,,ELLIEMAE,1
IKENNA,1,,ELLIEMARIE,1
ILERIOLUWA,1,,ELLIEROSE,1
ILHAN,1,,ELLIOTT,3
ILIAN,1,,ELLIS,29
ILIMOTAMA,1,,ELLISE,3
ILYAN,1,,ELLISSA,1
IMIRJANO,1,,ELLISSIA,1
IMRAAN,1,,ELLOISE,1
IMRAN,1,,ELLSIE,1
INAKI,1,,ELLY,3
INDERDEEP,1,,ELLYN,1
INDIGO,1,,ELLYS,3
INDIREN,1,,ELLYSE,3
INNES,43,,ELMIRA,1
INNIS,3,,ELODIE,3
IOAN,1,,ELOISE,15
IOANNIS,1,,ELONA,1
IRA,1,,ELORA,2
IREOLUWA,1,,ELSA,11
IRFAN,1,,ELSBETH,1
IRTAZA,1,,ELSIE,15
IRVIN,3,,ELSIE-JANE,1
IRVINE,1,,ELSPETH,2
ISA,1,,ELVA,1
ISAAC,59,,ELYSE,3
ISAC,1,,ELYSSA,1
ISAK,1,,ELYZABEL,1
ISHAAN,1,,EMA-MAY,1
ISHAI,1,,EMAAN,7
ISHMEET,1,,EMAN,2
ISLAM,1,,EMBER,1
ISMAEEL,2,,EMEILIA,1
ISMAIL,3,,EMELIA,2
ISRAEL,6,,EMELIE,1
ISSAC,1,,EMELINE,1
ITAI,1,,EMENIE,1
IVAN,6,,EMER,2
IVER,1,,EMERA,1
IVOR,2,,EMERSON,2
IYAD,1,,EMESE,1
IYAS,1,,EMI,1
IZAAC,1,,EMIE,2
IZAAK,5,,EMILEE,1
IZAAK-J,1,,EMILEIGH,1
IZACK,1,,EMILI,1
IZZY,1,,EMILIA,39
JAAFER,1,,EMILIE,12
JABRIL,1,,EMILIJA,1
JAC,2,,EMILLIE,3
JACE,2,,EMILLY,1
JACK,645,,EMILY,426
JACK-JAMES,1,,EMILY-ANNE,1
JACKSON,33,,EMILY-ELIZABETH,1
JACKSON-JAMES,1,,EMILY-JANE,3
JACKSYN,1,,EMILY-LOUISE,1
JACKY,1,,EMILY-ROSE,4
JACOB,110,,EMILY-SUE,1
JACOB-DEAN,1,,EMILYROSE,1
JACOB-TRISTEN,1,,EMINE,1
JACQUE,1,,EMMA,343
JACQUES-KAD,1,,EMMA-ANNE,1
JACSEN,1,,EMMA-JANE,1
JACUB,1,,EMMA-JAY,1
JADEN,8,,EMMA-LEIGH,2
JADON,2,,EMMA-LOUISE,3
JAE,3,,EMMA-ROSE,1
JAEDEN,1,,EMMAJANE,1
JAFFAR,1,,EMMANUELA,1
JAFR,1,,EMMANUELLA,1
JAI,12,,EMME,6
JAIDEN,7,,EMMELINE,2
JAIDYN,3,,EMMI-LOUISE,1
JAIK,1,,EMMIE,8
JAK,7,,EMMIN,1
JAKARIYA,1,,EMMY,5
JAKE,90,,ENA,3
JAKOB,9,,ENIJA,1
JAKSON,1,,ENJY,1
JAKUB,39,,ENYA,2
JALAL,1,,ERES,1
JAMAL,3,,ERICA,21
JAMEEL,1,,ERIKA,4
JAMES,438,,ERILYN,1
JAMES-JNR,1,,ERIN,329
JAMES-THOMAS,1,,ERIN-LOUISE,3
JAMEY,1,,ERIN-ROSE,1
JAMIAN,1,,ERINN,2
JAMIE,315,,ERNESTINE,1
JAMIE-RAY,1,,ERRIN,1
JAMIL,1,,ERYN,11
JAN,16,,ERYNN,5
JAPHET,1,,ESE,1
JARDIN,2,,ESETA,1
JARED,9,,ESHA,1
JARRON,1,,ESHAAL,3
JARVI,1,,ESHAL,2
JARVIS,2,,ESMA,1
JARYN,1,,ESME,16
JASE,1,,ESME-BROOKE,1
JASON,51,,ESOSA,1
JASON-LEE,1,,ESTELLE,3
JASPER,6,,ESTERE,1
JAVAN,1,,ESTHER,13
JAVID,1,,ESYAL,1
JAWAD,1,,ETHNE,1
JAX,1,,ETTA,1
JAXEN,1,,EUNICE,1
JAXON,13,,EVA,251
JAXSON,4,,EVA-ALEXANDRA,1
JAXXSON,1,,EVA-GRACE,1
JAY,181,,EVA-LILY,1
JAY-JAY,2,,EVA-LOUISE,1
JAY-LOGAN,1,,EVA-MAR,1
JAYAN,1,,EVA-ROSE,1
JAYCE,2,,EVAN,1
JAYDAN,1,,EVANGELINA,1
JAYDEN,216,,EVANGELINE,4
JAYDEN-JAMES,2,,EVE,117
JAYDEN-LEE,3,,EVEI,1
JAYDEN-THOMAS,1,,EVELINA,3
JAYDIN,1,,EVELYN,18
JAYDN,3,,EVELYNN,2
JAYDON,1,,EVI,3
JAYDYN,1,,EVIE,137
JAYE,2,,EVIE-GRACE,1
JAYINN,1,,EVIN,1
JAYKE,1,,EVINA,2
JAYLAN,1,,EVY,1
JAYME,1,,EWA,2
JAYMIE,1,,EWELINA,2
JAYMIN,1,,EYA,1
JAYON,1,,EYLANA,1
JAYSON,3,,EYLULNAZ,1
JE-MA,1,,EYVE,1
JEAN,1,,EZIOMA,1
JEAN-PIERRE,1,,EZMIE,1
JED,4,,FABIANA,1
JEDIDIAH,1,,FABIENNE,1
JEET,1,,FAHRA,1
JEEVA,1,,FAITH,46
JEEVAN,1,,FAITH-SHARONA,1
JEFFERSON,1,,FAITHE,1
JEFFREY,2,,FALLON,7
JEM,1,,FALON,1
JENSEN,6,,FARA,1
JENSON,5,,FARAH,4
JENSON-JAMES,1,,FAREEHA,2
JEREMI,1,,FARHEEN,1
JEREMIAH,3,,FARIDAT,1
JEREMIE,1,,FARRAH,10
JERMAINE,1,,FARRAH-LEIGH,1
JERRIN,1,,FARREL,1
JERRY,1,,FARRELL,1
JESHURUN,1,,FARREN,1
JESSE,6,,FARYL,10
JETHRO,1,,FATHIMA,1
JETT,3,,FATIHAH,1
JEVAN,1,,FATIMA,10
JGOR,1,,FATIMA-TUZ-ZAHRA,1
JIA,4,,FATIMAH,2
JIACHEN,1,,FATMA,2
JIBERRL,1,,FATMATA,1
JIDECHUKWU,1,,FATOOM,1
JIM,1,,FATOU,1
JIMMY,2,,FAUZIYYAH,1
JINDRICH,1,,FAVOUR,1
JING,1,,FAYE,17
JINGFANG,1,,FAYOLA,1
JO,1,,FAYTH,1
JOACHIM,1,,FEARN,2
JOAH,1,,FEARNE,10
JOAO,1,,FEDERICA,1
JOCK,1,,FEE,1
JODH,1,,FELICIA,1
JODY,1,,FELICITY,7
JOE,48,,FELICJA,1
JOEL,19,,FEN,1
JOENEY,1,,FERN,16
JOEY,8,,FERNE,1
JOHN,159,,FHERN,1
JOHN-JOE,1,,FIA,2
JOHN-JUNIOR,3,,FIANNA-ROSE,1
JOHN-PATRICK,1,,FINLI,1
JOHN-PAUL,3,,FIONA,16
JOHN-ROBERT,1,,FIZA,2
JOHN-STEPHAN,1,,FLO,2
JOHNANDREW,1,,FLORA,13
JOHNATHAN,1,,FLORAH,1
JOHNNIE,1,,FLORE,1
JOHNNY,9,,FLORENCE,17
JOHNSON,1,,FLORRIE,1
JOHNSTONE,1,,FOZIA,1
JON,4,,FRANCES,4
JON-PAUL,1,,FRANCESCA,22
JONAH,19,,FRANCHESCA,1
JONAS,3,,FRANKI,2
JONASZ,1,,FRANKIE,3
JONATAN,1,,FRAYA,2
JONATHAN,41,,FREJA,2
JONATHON,4,,FRENA,1
JONJOE,1,,FREYA,192
JONNI,1,,FREYA-GRACE,1
JONNY,1,,FREYAH,1
JONO,1,,FREYJA,12
JONTY,1,,FRIEDA,1
JOONYOUNG,1,,FUNG,1
JORDAN,59,,FYNN,1
JORDAN-JUNIOR,1,,GABI,1
JORDAN-LEE,1,,GABIJA,1
JORDEN,2,,GABRIELA,15
JORDIE,1,,GABRIELE,3
JORDIN,2,,GABRIELLA,26
JORDON,2,,GABRIELLE,19
JORDYN,2,,GAGANDEEP,1
JORGE,1,,GAIA,1
JORY,1,,GEMMA,42
JOSE,1,,GENA,1
JOSEP,1,,GENEVA,1
JOSEPH,174,,GENEVIEVE,5
JOSEVA,1,,GEORGIA,67
JOSH,138,,GEORGIANA,1
JOSHUA,218,,GEORGIE,6
JOSHUA-DANIEL,1,,GEORGINA,11
JOSHUAH,1,,GERRIE,1
JOSIAH,3,,GERTRAUD,1
JOSS,1,,GETE-ANNABELLE,1
JOSUE,1,,GIA,3
JOVEL,1,,GIANNA,1
JUAN,2,,GILDA,1
JUDAH,1,,GILLIAN,3
JUDE,38,,GINA,3
JULEN,1,,GIOVANNA,1
JULES,2,,GISELA,1
JULIAN,9,,GIULIA,1
JULIEN,1,,GLADINA,1
JULIUS,2,,GLORIA,1
JUN,4,,GLORY,2
JUNAID,1,,GRACE,262
JUNE,1,,GRACEY,2
JUNIOR,18,,GRACIE,51
JUNIOR-J,1,,GRACIE-MAE,1
JUNIORDAVID,1,,GRACIEROSE,1
JUNQI,1,,GRAINNE,1
JURGIS,1,,GRASIELA,1
JUSTAS,1,,GREER,1
JUSTICE,1,,GRETA,3
JUSTIN,26,,GULMEHAK,1
JUVEN,1,,GUNAMAYA,1
JYIE,1,,GURJEET,1
KA'IM,1,,GURVEEN,1
KACEY,1,,GURVEER,1
KACII,1,,GUYATRI,1
KACPER,29,,GWEN,4
KADE,7,,GWENYTH,1
KADEN,13,,GWYNETH,1
KADEN-JAY,1,,GYTA,1
KADIN,1,,HAADIYA,1
KADYN,6,,HADEER,1
KAEDEN,2,,HADIA,5
KAEDIN,1,,HAFSA,6
KAEDYN,1,,HAFSAH,3
KAEL,1,,HAGR,1
KAELAN,4,,HAIBA,1
KAELEB,1,,HAILEE,1
KAELIN,1,,HAILEY,16
KAELLAB,1,,HAILIE,1
KAHLAN,1,,HAILLIE,1
KAI,155,,HAIYA,1
KAIAN,1,,HAJER,1
KAIDAN,1,,HALEEMA,2
KAIDE,1,,HALEY,1
KAIDEN,57,,HALI,2
KAIDEN-LEE,1,,HALIMA,1
KAIDYN,3,,HALINA,1
KAIF,2,,HALLE,15
KAILIN,1,,HALLI,2
KAILLUM,1,,HALLIE,7
KAILUM,1,,HALO,2
KAIN,2,,HAMNA,2
KAINE,2,,HAN,1
KAIRIN,1,,HANA,9
KAIRN,1,,HANALEIGH,1
KAIRYN,2,,HANHALYN,1
KAISEI,1,,HANIA,1
KAIWEN,1,,HANIN,1
KAIYN,1,,HANIYA,4
KAJETAN,1,,HANNA,16
KAJUS,1,,HANNA-MARIA,1
KAL-EL,2,,HANNAH,282
KALAB,1,,HANNAH-LOUISE,1
KALAN,1,,HARINI,1
KALE,1,,HARKARUNJOT,1
KALEB,13,,HARLEY,5
KALIB,3,,HARLI,1
KALIL,1,,HARLOW,1
KALIN,2,,HARMONY,2
KALLAN,2,,HARPER,1
KALLEN-PIERCE,1,,HARRIET,12
KALLIN,1,,HARRIETT,1
KALLUM,2,,HARSHANA,1
KALUB,1,,HARSHINI,1
KALUM,1,,HARSUKHMAN,1
KALVIN,9,,HARVIER,1
KAMERON,3,,HATTIE,1
KAMIL,3,,HAVALAH,1
KAMRAN,3,,HAVANAH,1
KAMRYN,1,,HAVANNA-ROSE,1
KAMSIYOCHUKWU,1,,HAVIN,2
KAMSY,1,,HAYAH,1
KANE,13,,HAYDEN,23
KARAM,1,,HAYDON,1
KARANVIR,1,,HAYLEA,1
KARDO,1,,HAYLEIGH,5
KAREEM,1,,HAYLEY,57
KARIM,1,,HAYLIE,1
KARL,3,,HAYOUNG,1
KAROL,1,,HAZAL,2
KARRSON,1,,HAZEL,16
KARSON,3,,HEATHER,48
KARTER,1,,HEATHERLEE,1
KASH,1,,HEAVENLEIGH,1
KASIM,2,,HEBA,1
KASON,1,,HEDAYA,1
KASPER,2,,HEIDI,33
KASPIAN,1,,HEIDY,1
KASRA,1,,HELAI,1
KAVEN,1,,HELAN,1
KAVI,1,,HELEN,9
KAVIN,1,,HELENA,10
KAYAHAN,1,,HELLEN,1
KAYD,1,,HEMA,1
KAYDE,1,,HENRIETTA,1
KAYDEN,89,,HERMIONE,1
KAYDIN,2,,HESTER,2
KAYDN,4,,HIBA,2
KAYDON,2,,HIBAH,1
KAYDYN,1,,HIBBA,1
KAYLAN,1,,HIDAYA,1
KAYLEB,2,,HIKMAH,1
KAYLEM,1,,HILLARY,1
KAYLIB,2,,HINDA,1
KAYLUM,1,,HIRA,1
KAYNE,3,,HOLLI,4
KAYSON,2,,HOLLIE,68
