Name,YearsAppearing,PropFemale,CountsFemale,PropMale,CountsMale
Alexcya,1,1,8,0,0
Alexe,3,1,15,0,0
Alexea,21,1,213,0,0
Alexee,12,1,87,0,0
Alexei,43,0.325581395348837,100,1,826
Alexeia,4,1,23,0,0
Alexender,8,0,0,1,46
Alexendra,2,1,13,0,0
Alexendria,3,1,15,0,0
Alexes,28,1,699,0.535714285714286,139
Alexeus,1,1,5,0,0
Alexey,19,0.157894736842105,19,1,244
Alexeya,1,1,7,0,0
Alexi,46,0.869565217391304,3488,1,1356
Alexia,79,1,36155,0.0886075949367089,44
Alexiah,15,1,354,0,0
Alexian,1,0,0,1,5
Alexiana,15,1,260,0,0
Alexianna,14,1,161,0,0
Alexias,19,1,154,0,0
Alexica,10,1,63,0,0
Alexicia,4,1,22,0,0
Alexie,41,0.780487804878049,1323,0.829268292682927,261
Alexiea,7,1,42,0,0
Alexies,7,1,41,0,0
Alexina,49,1,317,0,0
Alexine,28,1,165,0,0
Alexio,19,0,0,1,136
Alexiona,1,1,5,0,0
Alexionna,1,1,5,0,0
Alexios,13,0,0,1,93
Alexious,7,1,41,0,0
Alexis,104,0.692307692307692,313885,1,56206
Alexisa,2,1,10,0,0
Alexisia,3,1,15,0,0
Alexisjade,1,1,5,0,0
Alexismarie,10,1,69,0,0
Alexisnicole,1,1,5,0,0
Alexisrose,1,1,7,0,0
Alexiss,26,1,506,0.115384615384615,20
Alexius,37,0.864864864864865,1459,0.405405405405405,113
Alexix,6,1,37,0.166666666666667,5
Alexiya,12,1,95,0,0
Alexiyah,6,1,37,0,0
Alexiyana,2,1,12,0,0
Alexiz,22,1,260,0.909090909090909,230
Alexjandro,7,0,0,1,49
Alexnader,5,0,0,1,36
Alexnadra,1,1,8,0,0
Alexondra,8,1,54,0,0
Alexondria,4,1,24,0,0
Alexous,1,1,5,0,0
Alexs,5,0,0,1,29
Alexsa,27,1,515,0,0
Alexsander,41,0,0,1,986
Alexsandra,47,1,2168,0,0
Alexsandria,20,1,172,0,0
Alexsandro,21,0,0,1,239
Alexsi,1,0,0,1,7
Alexsia,20,1,305,0,0
Alexsis,36,1,1238,0.5,183
Alexsondra,1,1,5,0,0
Alexssa,4,1,24,0,0
Alexsus,11,1,99,0,0
Alexsys,17,1,160,0,0
Alexuis,6,1,35,0,0
Alexus,30,0.966666666666667,17792,0.666666666666667,232
Alexusia,1,1,5,0,0
Alexuss,2,1,10,0,0
Alexx,26,0.807692307692308,184,1,314
Alexxa,23,1,509,0,0
Alexxander,16,0,0,1,160
Alexxandra,8,1,50,0,0
Alexxandria,3,1,15,0,0
Alexxes,1,1,5,0,0
Alexxia,10,1,79,0,0
Alexxis,25,1,1091,0.04,6
Alexxus,21,1,411,0,0
Alexxys,6,1,37,0,0
Alexy,31,0.774193548387097,319,0.935483870967742,279
Alexya,19,1,401,0,0
Alexyanna,1,1,5,0,0
Alexyia,10,1,63,0,0
Alexys,32,1,3804,0.625,340
Alexyss,20,1,518,0,0
Alexyz,5,1,29,0,0
Alexz,2,1,14,0,0
Alexza,18,1,190,0,0
Alexzandar,1,0,0,1,6
Alexzander,33,0,0,1,4512
Alexzandra,30,1,1236,0,0
Alexzandrea,23,1,347,0,0
Alexzandria,29,1,1499,0,0
Alexzandrya,1,1,8,0,0
Alexzandyr,1,0,0,1,5
Alexzavier,7,0,0,1,56
Alexzia,17,1,170,0,0
Alexzis,1,1,5,0,0
Aley,7,0.857142857142857,33,0.142857142857143,6
Aleya,35,1,1124,0,0
Aleyah,19,1,1241,0,0
Aleyana,5,1,35,0,0
Aleycia,5,1,33,0,0
Aleyda,34,1,669,0,0
Aleydis,7,1,43,0,0
Aleyha,1,1,5,0,0
Aleyia,8,1,52,0,0
Aleyiah,5,1,38,0,0
Aleyla,1,1,5,0,0
Aleyna,23,1,888,0,0
Aleynah,3,1,25,0,0
Aleynna,1,1,5,0,0
Aleysa,2,1,10,0,0
Aleyse,2,1,11,0,0
Aleysha,25,1,320,0,0
Aleyshka,2,1,10,0,0
Aleysia,14,1,110,0,0
Alez,4,0,0,1,23
Aleza,10,1,56,0,0
Alezae,1,1,6,0,0
Alezander,11,0,0,1,88
Alezandra,13,1,93,0,0
Alezandro,1,0,0,1,5
Alezay,5,1,27,0,0
Alezia,1,1,6,0,0
Alf,87,0,0,1,1124
Alfa,35,1,229,0.0285714285714286,5
Alfair,3,1,16,0,0
Alfanette,1,1,5,0,0
Alfanso,1,0,0,1,5
Alfard,15,0,0,1,86
Alfaretta,7,1,40,0,0
Alferd,67,0,0,1,958
Alferdo,2,0,0,1,10
Alferetta,1,1,5,0,0
Alfhild,13,1,89,0,0
Alfia,3,1,16,0,0
Alfie,44,0.386363636363636,123,0.840909090909091,502
Alfio,27,0,0,1,203
Alfonce,3,0,0,1,18
Alfons,35,0,0,1,441
Alfonsa,24,0.0833333333333333,11,0.958333333333333,144
Alfonse,77,0,0,1,1382
Alfonsina,6,1,43,0,0
Alfonso,128,0.1484375,109,1,37899
Alfonson,1,0,0,1,8
Alfonza,87,0,0,1,1714
Alfonzia,26,0,0,1,185
Alfonzie,2,0,0,1,11
Alfonzo,114,0,0,1,5420
Alford,123,0.00813008130081301,5,1,4776
Alfornia,4,0,0,1,21
Alfread,4,0,0,1,26
Alfreada,1,1,5,0,0
Alfred,132,0.643939393939394,1293,1,240110
Alfreda,116,1,11365,0.0517241379310345,35
Alfreddie,10,0,0,1,61
Alfredia,60,1,1131,0,0
Alfredo,124,0.330645161290323,285,1,51086
Alfredrick,1,0,0,1,6
Alfreeda,9,1,50,0,0
Alfreida,54,1,492,0,0
Alfretta,38,1,289,0,0
Alfrida,7,1,46,0,0
Alfrieda,66,1,761,0,0
Alfy,1,0,0,1,15
Alga,19,1,132,0.0526315789473684,5
Algean,1,1,5,0,0
Algene,13,0.692307692307692,59,0.384615384615385,28
Algenis,9,0,0,1,58
Alger,68,0,0,1,832
Algerd,3,0,0,1,20
Algeria,6,1,32,0,0
Algerine,1,1,5,0,0
Algernon,87,0,0,1,967
Algert,4,0,0,1,23
Algertha,1,1,5,0,0
Algia,14,0.5,46,0.642857142857143,58
Algie,101,0.445544554455446,361,0.96039603960396,1529
Algin,6,0,0,1,33
Algird,8,0,0,1,52
Algirdas,4,0,0,1,22
Algis,14,0,0,1,104
Algot,9,0,0,1,53
Algy,2,0,0,1,10
Alhaji,19,0,0,1,160
Alhakim,1,0,0,1,5
Alham,1,1,5,0,0
Alhan,1,0,0,1,5
Alhana,3,1,20,0,0
Alhasan,2,0,0,1,11
Alhassan,12,0,0,1,92
Alhassane,4,0,0,1,26
Alheli,5,1,31,0,0
Alhia,1,1,13,0,0
Ali,84,0.535714285714286,8513,1,19737
Alia,55,1,7384,0,0
Aliah,36,1,2853,0,0
Aliaha,5,1,29,0,0
Aliahna,5,1,34,0,0
Alian,5,0,0,1,43
Aliana,32,1,3172,0,0
Alianah,7,1,74,0,0
Aliandra,4,1,24,0,0
Aliani,6,1,39,0,0
Alianis,2,1,13,0,0
Alianna,21,1,1500,0,0
Aliannah,3,1,120,0,0
Alianne,1,1,5,0,0
Alianny,2,1,11,0,0
Aliany,8,1,50,0,0
Alianys,2,1,14,0,0
Alias,28,0,0,1,415
Aliaya,5,1,30,0,0
Aliayah,17,1,186,0,0
Aliaz,1,0,0,1,5
Alic,20,0,0,1,184
Alica,62,1,1270,0,0
Alicai,3,1,20,0,0
Aliccia,1,1,5,0,0
Alice,132,1,540557,0.757575757575758,1920
Alicea,52,1,1076,0,0
Aliceann,5,1,29,0,0
Aliceia,5,1,28,0,0
Alicemae,10,1,58,0,0
Alicemarie,3,1,17,0,0
Alicen,43,1,874,0,0
Aliceson,28,1,198,0,0
Aliceteen,1,1,5,0,0
Aliceyn,1,1,7,0,0
Alicha,32,1,265,0,0
Alichia,21,1,151,0,0
Alicia,130,1,218896,0.376923076923077,706
Aliciah,3,1,15,0,0
Aliciamarie,2,1,12,0,0
Alician,2,1,12,0,0
Aliciana,17,1,248,0,0
Alicianna,11,1,102,0,0
Aliciya,3,1,20,0,0
Alicja,21,1,223,0,0
Alick,9,0,0,1,55
Alicya,17,1,149,0,0
Alicyn,43,1,623,0,0
Alida,132,1,4249,0,0
Alidia,4,1,24,0,0
Alie,37,0.918918918918919,413,0.297297297297297,67
Aliea,16,1,107,0,0
Alieah,4,1,36,0,0
Aliece,11,1,64,0,0
Aliecia,7,1,39,0,0
Alieda,1,1,5,0,0
Alieen,1,1,5,0,0
Aliegha,9,1,67,0,0
Alien,2,1,11,0,0
Aliena,23,1,200,0,0
Aliene,50,1,728,0,0
Aliera,4,1,21,0,0
Aliesa,3,1,17,0,0
Aliese,14,1,102,0,0
Aliesha,41,1,840,0,0
Alieshia,1,1,5,0,0
Aliette,1,1,5,0,0
Alieu,13,0,0,1,105
Alieya,4,1,24,0,0
Alieyah,6,1,40,0,0
Alieza,4,1,22,0,0
Aliezah,1,1,6,0,0
Alif,16,0,0,1,103
Aliha,12,1,103,0,0
Alii,4,0,0,1,23
Aliina,1,1,6,0,0
Aliisa,1,1,5,0,0
Aliiyah,1,1,8,0,0
Alija,10,0.5,36,0.7,47
Alijah,24,0.875,887,1,5313
Alijandra,5,1,29,0,0
Alijandro,2,0,0,1,10
Alijha,7,0.285714285714286,11,0.714285714285714,28
Alijiah,5,0,0,1,34
Alik,22,0,0,1,233
Alika,41,0.902439024390244,419,0.951219512195122,504
Alikah,2,1,11,0,0
Alikai,1,0,0,1,6
Alike,2,1,11,0,0
Alikhan,1,0,0,1,5
Aliki,3,1,16,0,0
Alila,7,1,41,0,0
Alilah,4,1,26,0,0
Alilia,4,1,21,0,0
Alilyana,3,1,16,0,0
Alim,37,0,0,1,464
Alima,25,1,243,0,0
Alimah,5,1,33,0,0
Alimatou,1,1,6,0,0
Alin,23,0.826086956521739,319,0.739130434782609,112
Alina,78,1,20074,0,0
Alinah,12,1,218,0,0
Alinda,57,1,593,0,0
Aline,132,1,14105,0.00757575757575758,5
Alinna,14,1,172,0,0
Alinne,7,1,48,0,0
Alinson,3,1,17,0,0
Aliona,4,1,25,0,0
Alionna,3,1,21,0,0
Aliou,10,0,0,1,71
Alioune,13,0,0,1,101
Alique,2,0.5,5,0.5,5
Alira,7,1,45,0,0
Alirah,1,1,5,0,0
Alireza,23,0,0,1,203
Alis,27,1,233,0.037037037037037,5
Alisa,67,1,31685,0.0597014925373134,22
Alisabeth,28,1,317,0,0
Alisah,23,1,162,0,0
Alisan,12,1,81,0,0
Alisande,4,1,36,0,0
Alisandra,26,1,312,0,0
Alischa,2,1,11,0,0
Aliscia,34,1,269,0,0
Alise,93,1,2911,0,0
Alisea,15,1,87,0,0
Alisen,26,1,196,0,0
Alish,1,1,5,0,0
Alisha,63,1,53452,0.253968253968254,131
Alishaba,1,1,5,0,0
Alishah,11,1,66,0.0909090909090909,6
Alishan,4,0,0,1,25
Alishba,11,1,286,0,0
Alishea,24,1,183,0,0
Alishia,51,1,2693,0,0
Alishya,3,1,18,0,0
Alisi,6,1,44,0,0
Alisia,71,1,3629,0,0
Alisiah,1,1,5,0,0
Alisiana,2,1,13,0,0
Aliska,1,1,5,0,0
Alison,103,1,105170,0.611650485436893,578
Alissa,63,1,35561,0.0793650793650794,31
Alissabeth,2,1,10,0,0
Alissah,13,1,123,0,0
Alissandra,21,1,260,0,0
Alisse,18,1,142,0,0
Alissha,4,1,27,0,0
Alissia,41,1,703,0,0
Alisson,34,1,2255,0,0
Alissondra,1,1,5,0,0
Alissya,5,1,33,0,0
Alista,1,1,5,0,0
Alistair,45,0,0,1,1051
Alistar,3,0,0,1,20
Alister,28,0,0,1,373
Alisun,1,1,5,0,0
Alisya,7,1,47,0,0
Alisyn,34,1,554,0,0
Alita,96,1,1659,0,0
Alitha,6,1,33,0,0
Alithea,7,1,38,0,0
Alithia,7,1,42,0,0
Alitia,1,1,5,0,0
Alitza,17,1,187,0,0
Alitzah,4,1,25,0,0
Alitzel,14,1,176,0,0
Alius,2,0,0,1,11
Aliva,3,1,19,0,0
Alivea,13,1,206,0,0
Aliveah,6,1,35,0,0
Aliveya,1,1,5,0,0
Alivia,41,1,17136,0.0487804878048781,10
Aliviah,11,1,394,0,0
Aliviana,2,1,16,0,0
Aliviya,8,1,77,0,0
Aliviyah,6,1,47,0,0
Alivn,2,0,0,1,10
Alivya,11,1,167,0,0
Alivyah,1,1,5,0,0
Alix,77,0.987012987012987,3180,0.649350649350649,809
Alixa,2,1,10,0,0
Alixander,20,0,0,1,207
Alixandra,32,1,914,0,0
Alixandrea,15,1,100,0,0
Alixandria,26,1,501,0,0
Alixe,1,1,5,0,0
Alixia,1,1,5,0,0
Alixis,13,1,74,0,0
Alixon,1,1,6,0,0
Alixx,1,1,7,0,0
Alixzander,6,0,0,1,40
Alixzandria,1,1,6,0,0
Aliya,41,1,6433,0,0
Aliyaah,4,1,23,0,0
Aliyah,39,1,25092,0.102564102564103,28
Aliyaha,4,1,23,0,0
Aliyahna,1,1,5,0,0
Aliyan,3,0.333333333333333,6,0.666666666666667,12
Aliyana,13,1,600,0,0
Aliyanah,5,1,49,0,0
Aliyanna,12,1,210,0,0
Aliyas,5,0,0,1,28
Aliye,2,1,11,0,0
Aliyha,17,1,200,0,0
Aliyia,1,1,5,0,0
Aliyiah,7,1,46,0,0
Aliyna,2,1,10,0,0
Aliyonna,1,1,17,0,0
Aliysha,1,1,5,0,0
Aliyssa,1,1,7,0,0
Aliyyah,22,1,206,0,0
Aliz,10,1,77,0,0
Aliza,57,1,6375,0.0175438596491228,5
Alizabeth,33,1,1326,0,0
Alizae,17,1,639,0.0588235294117647,5
Alizah,20,1,544,0.05,5
Alizai,1,1,5,0,0
Alizander,1,0,0,1,6
Alizandra,7,1,44,0,0
Alizay,17,1,510,0.0588235294117647,5
Alizaya,10,1,84,0,0
Alizayah,1,1,5,0,0
Alizaye,2,1,15,0,0
Alize,22,1,4404,0.681818181818182,309
Alizea,16,1,249,0,0
Alizeah,5,1,31,0,0
Alizee,14,1,209,0,0
Alizeh,12,1,105,0,0
Alizet,1,1,5,0,0
Alizette,3,1,16,0,0
Alizey,11,1,99,0,0
Alizeya,3,1,16,0,0
Alizia,15,1,120,0,0
Aliziah,1,1,5,0,0
Alizon,9,1,220,0,0
Alizza,10,1,71,0,0
Alizzon,4,1,49,0,0
Aljandro,7,0,0,1,45
Aljaquan,1,0,0,1,6
Aljay,1,0,0,1,5
Aljean,11,1,77,0,0
Alka,19,1,121,0,0
Alkeem,2,0,0,1,11
Alkeria,1,1,6,0,0
Alla,96,0.989583333333333,1088,0.0208333333333333,10
Allah,24,0.125,16,0.875,150
Allahna,11,1,80,0,0
Allaina,22,1,168,0,0
Allaire,5,1,28,0,0
Allam,1,0,0,1,5
Allan,132,0.310606060606061,253,1,92083
Allana,70,1,2371,0,0
Allanah,22,1,649,0,0
Allandra,3,1,17,0,0
Allani,6,1,44,0,0
Allanmichael,4,0,0,1,22
Allanna,22,1,200,0,0
Allannah,13,1,166,0,0
Allante,21,0.523809523809524,131,1,421
Allard,32,0,0,1,244
Allasia,1,1,5,0,0
Allateef,1,0,0,1,5
Allaura,4,1,25,0,0
Allaya,8,1,51,0,0
Allayah,18,1,209,0,0
Allayna,21,1,342,0,0
Allayne,2,1,10,0,0
Alle,18,1,136,0,0
Allea,14,1,119,0,0
Alleah,20,1,274,0,0
Allean,74,1,1491,0,0
Alleana,2,1,12,0,0
Alleane,5,1,30,0,0
Allec,2,0,0,1,13
Allecia,26,1,175,0,0
Allee,32,1,919,0,0
Alleen,68,1,956,0,0
Alleena,4,1,23,0,0
Alleene,14,1,93,0,0
Allegra,102,1,3948,0,0
Alleigh,19,1,406,0,0
Alleine,1,1,5,0,0
Alleisha,1,1,5,0,0
Allejah,1,1,7,0,0
Allen,132,0.787878787878788,1824,1,261427
Allena,107,1,1708,0,0
Allenah,1,1,5,0,0
Allenby,1,0,0,1,6
Allene,128,1,8713,0.0078125,5
Allenmichael,12,0,0,1,104
Allenna,1,1,5,0,0
Allera,1,1,6,0,0
Alleria,2,1,10,0,0
Allesandra,18,1,150,0,0
Allese,1,1,5,0,0
Allesha,15,1,119,0,0
Alleshia,2,1,14,0,0
Allesia,1,1,5,0,0
Alleson,5,1,27,0,0
Allessandra,24,1,213,0,0
Alleta,17,1,105,0,0
Alletha,1,1,6,0,0
Alletta,11,1,68,0,0
Allex,24,0.416666666666667,71,0.875,162
Allexa,13,1,92,0,0
Allexander,2,0,0,1,12
Allexandra,4,1,25,0,0
Allexandria,1,1,5,0,0
Allexia,6,1,40,0,0
Allexis,22,1,392,0,0
Allexus,15,1,212,0,0
Allexys,2,1,10,0,0
Alley,32,0.78125,805,0.21875,42
Alleya,8,1,62,0,0
Alleyah,17,1,199,0,0
Alleyna,6,1,36,0,0
Alleyne,16,1,140,0,0
Alli,30,1,2951,0.0333333333333333,5
Allia,27,1,299,0,0
Alliah,18,1,437,0,0
Alliana,14,1,338,0,0
Allianah,1,1,7,0,0
Allianna,13,1,195,0,0
Alliannah,2,1,15,0,0
Allias,2,0,0,1,10
Allice,27,1,184,0,0
Allicen,3,1,18,0,0
Allicia,44,1,681,0,0
Allicyn,8,1,46,0,0
Allida,2,1,34,0,0
Allie,132,1,39982,0.916666666666667,3111
Allieana,1,1,7,0,0
Allieanna,2,1,12,0,0
Alliee,1,1,7,0,0
Alliemae,1,1,5,0,0
Allien,11,1,73,0,0
Alliene,30,1,283,0,0
Allijah,1,0,0,1,6
Allin,21,0,0,1,125
Allina,24,1,201,0,0
Allinah,1,1,5,0,0
Alline,77,1,1918,0,0
Allinson,3,1,18,0,0
Alliona,1,1,5,0,0
Allis,13,1,79,0,0
Allisa,51,1,1306,0,0
Allisan,6,1,34,0,0
Allisandra,6,1,39,0,0
Allise,7,1,42,0,0
Allisen,34,1,322,0,0
Allisha,40,1,865,0,0
Allishia,3,1,20,0,0
Allisia,7,1,44,0,0
Allison,130,0.792307692307692,264488,1,3734
Allissa,43,1,1991,0,0
Allissia,6,1,37,0,0
Allisson,15,1,1805,0,0
Allistair,2,0,0,1,10
Allister,43,0,0,1,508
Allisun,3,1,18,0,0
Allisyn,37,1,740,0,0
Allita,1,1,5,0,0
Allivia,7,1,43,0,0
Allix,13,1,136,0,0
Alliya,16,1,184,0,0
Alliyah,18,1,2399,0,0
Alliyana,1,1,5,0,0
Alliyiah,1,1,5,0,0
Allizae,1,1,5,0,0
Allize,1,1,5,0,0
Allizon,5,1,138,0,0
Allizzon,3,1,25,0,0
Allon,33,0,0,1,208
Allona,17,1,132,0,0
Allonah,1,1,5,0,0
Allondra,6,1,40,0,0
Allonte,2,0,0,1,13
Allonzo,1,0,0,1,5
Allora,22,1,255,0,0
Allorah,3,1,21,0,0
Allory,3,1,15,0,0
Allsion,9,1,63,0,0
Allson,1,1,5,0,0
Allston,2,0,0,1,11
Allura,25,1,510,0,0
Allure,15,1,221,0,0
Allwin,3,0,0,1,22
Ally,27,1,6953,0.0740740740740741,10
Allya,1,1,5,0,0
Allyah,18,1,278,0,0
Allyana,14,1,197,0,0
Allyanah,1,1,6,0,0
Allyanna,11,1,132,0,0
Allyannah,1,1,5,0,0
Allyce,27,1,355,0,0
Allycia,28,1,338,0,0
Allye,21,1,188,0,0
Allyiah,17,1,143,0,0
Allyn,103,0.825242718446602,1747,1,3138
Allyna,14,1,137,0,0
Allyne,54,1,505,0,0
Allynn,3,1,15,0,0
Allyonna,1,1,5,0,0
Allyra,1,1,7,0,0
Allyria,1,1,5,0,0
Allysa,38,1,2422,0,0
Allysah,4,1,23,0,0
Allysan,3,1,18,0,0
Allysandra,4,1,26,0,0
Allyse,30,1,669,0,0
Allysen,28,1,496,0,0
Allysha,25,1,501,0,0
Allyshia,6,1,41,0,0
Allysia,33,1,582,0,0
Allysin,4,1,26,0,0
Allyson,67,1,45140,0.0597014925373134,21
Allyssa,41,1,6189,0,0
Allyssah,2,1,11,0,0
Allysse,1,1,5,0,0
Allyssia,23,1,183,0,0
Allysson,9,1,189,0,0
Allysun,5,1,29,0,0
Allysyn,3,1,16,0,0
Allyx,6,1,42,0,0
Allyza,1,1,5,0,0
Allyzon,4,1,26,0,0
Alma,132,1,156451,0.96969696969697,2136
Almadelia,33,1,262,0,0
Almae,2,1,10,0,0
Almalik,13,0,0,1,86
Alman,5,0,0,1,29
Almanda,2,1,10,0,0
Almando,16,0,0,1,93
Almanzo,2,0,0,1,17
Almar,1,1,5,0,0
Almaree,2,1,12,0,0
Almarene,1,1,5,0,0
Almarie,40,1,328,0,0
Almarine,2,1,10,0,0
Almarion,2,0,0,1,13
Almarosa,19,1,144,0,0
Almas,3,1,17,0,0
Almatine,1,1,6,0,0
Almaz,1,1,5,0,0
Almeada,2,1,11,0,0
Almeater,3,1,16,0,0
Almeda,106,1,4399,0,0
Almedia,58,1,526,0,0
Almedin,4,0,0,1,25
Almedina,5,1,33,0,0
Almee,16,1,134,0,0
Almena,28,1,232,0,0
Almendra,12,1,109,0,0
Almenia,2,1,11,0,0
Almer,60,0.633333333333333,322,0.883333333333333,559
Almera,1,1,5,0,0
Almeria,1,1,5,0,0
Almerinda,6,1,35,0,0
Almeta,90,1,2241,0,0
Almeter,23,1,176,0,0
Almetia,4,1,23,0,0
Almetra,1,1,5,0,0
Almetta,41,1,372,0,0
Almetter,1,1,5,0,0
Almida,1,1,5,0,0
Almin,9,0,0,1,66
Almina,27,1,174,0,0
Almir,17,0,0,1,199
Almira,117,1,1648,0,0
Almitra,4,1,24,0,0
Almo,10,0.3,15,0.9,58
Almon,105,0.0285714285714286,18,1,1609
Almond,61,0,0,1,617
Almondo,1,0,0,1,5
Almonte,2,0,0,1,11
Almonza,1,0,0,1,5
Almonzo,3,0,0,1,18
Almore,1,0,0,1,5
Almos,3,0,0,1,19
Almous,1,0,0,1,5
Almudena,1,1,5,0,0
Almus,19,0,0,1,143
Almyra,29,1,209,0,0
Alna,7,1,46,0,0
Alneisha,1,1,7,0,0
Alnesha,1,1,5,0,0
Alnetia,1,1,5,0,0
Alnisa,30,1,280,0,0
Alnisha,5,1,29,0,0
Alnita,18,1,140,0,0
Alnora,4,1,23,0,0
Aloa,1,1,5,0,0
Aloah,1,1,5,0,0
Alodie,2,1,10,0,0
Aloha,63,1,843,0,0
Alohi,1,1,6,0,0
Alohilani,8,1,50,0,0
Alois,89,0.269662921348315,186,1,2452
Aloise,16,0.8125,100,0.25,28
Aloisius,1,0,0,1,5
Alok,26,0,0,1,193
Aloma,49,1,846,0,0
Alon,52,0.0769230769230769,24,1,847
Alona,85,1,2355,0,0
Alonah,12,1,167,0,0
Alonda,57,1,869,0,0
Alondo,8,0,0,1,43
Alondra,51,1,31960,0.254901960784314,116
Alondre,4,0,0,1,23
Alondrea,2,1,11,0,0
Alondria,17,1,118,0,0
Aloni,16,1,242,0,0
Alonia,25,1,149,0,0
Alonie,7,1,41,0,0
Alonna,49,1,1706,0,0
Alonnah,11,1,144,0,0
Alonni,4,1,25,0,0
Alonnie,6,1,38,0,0
Alonso,94,0,0,1,7740
Alonta,3,0,0,1,18
Alontae,17,0,0,1,137
Alontay,2,0,0,1,11
Alonte,22,0.0454545454545455,6,1,365
Alonya,3,1,17,0,0
Alonza,129,0.00775193798449612,6,1,3304
Alonzia,4,0.75,17,0.25,5
Alonzo,132,0.189393939393939,154,1,37982
Alora,48,1,3112,0,0
Alorah,16,1,206,0,0
Aloria,9,1,54,0,0
Alouise,4,1,21,0,0
Aloura,12,1,100,0,0
Aloys,32,0,0,1,414
Aloyse,1,1,5,0,0
Aloysia,3,1,17,0,0
Aloysious,13,0,0,1,98
Aloysius,132,0,0,1,5473
Aloysuis,14,0,0,1,114
Alp,14,0,0,1,126
Alpa,11,1,76,0,0
Alper,5,0,0,1,30
Alpesh,1,0,0,1,5
Alph,1,0,0,1,7
Alpha,132,0.939393939393939,7106,0.946969696969697,2086
Alpharetta,2,1,16,0,0
Alphe,2,0,0,1,11
Alphea,1,1,5,0,0
Alphee,2,0,0,1,11
Alpheus,73,0,0,1,750
Alphia,31,1,242,0,0
Alphie,3,0,0,1,17
Alphild,3,1,17,0,0
Alphine,1,1,5,0,0
Alphon,1,0,0,1,5
Alphonce,2,0,0,1,10
Alphones,1,0,0,1,5
Alphons,13,0,0,1,90
Alphonsa,35,0,0,1,260
Alphonse,132,0,0,1,10035
Alphonsine,13,1,81,0,0
Alphonso,127,0.0393700787401575,27,1,14829
Alphonsus,45,0,0,1,408
Alphonza,53,0,0,1,508
Alphonzo,100,0,0,1,1984
Alphus,18,0,0,1,121
Alphy,1,0,0,1,5
Alpine,1,1,7,0,0
Alprentice,3,0,0,1,17
Alquan,18,0,0,1,150
Alquin,1,0,0,1,5
Alrahman,1,0,0,1,5
Alray,1,0,0,1,5
Alric,21,0,0,1,139
Alrick,17,0,0,1,104
Alrita,1,1,5,0,0
Alroy,16,0,0,1,109
Alsa,1,1,6,0,0
Alsace,7,1,86,0,0
Alsatia,3,1,17,0,0
Alsexander,1,0,0,1,5
Alsha,14,1,106,0,0
Alshawn,2,0,0,1,11
Alsie,19,1,139,0,0
Alsiha,1,1,6,0,0
Alsion,3,1,17,0,0
Alson,54,0,0,1,462
Alston,98,0.0306122448979592,16,1,1903
Alta,132,1,28535,0.151515151515152,117
Altagracia,81,1,777,0,0
Altair,4,1,39,0.75,24
Altaira,1,1,8,0,0
Altamae,6,1,36,0,0
Altamease,10,1,59,0,0
Altamese,38,1,287,0,0
Altan,3,0,0,1,18
Altarik,1,0,0,1,5
Altariq,27,0,0,1,205
Altavious,2,0,0,1,10
Altay,2,0,0,1,12
Altee,2,1,11,0,0
Alten,2,0,0,1,10
Alter,38,0.0789473684210526,18,0.947368421052632,268
Alterick,2,0,0,1,12
Alterik,1,0,0,1,5
Altermease,1,1,5,0,0
Altha,91,1,3363,0.043956043956044,21
Althea,132,1,15993,0.00757575757575758,5
Altheda,7,1,49,0,0
Altheia,11,1,72,0,0
Althelia,1,1,5,0,0
Althena,3,1,17,0,0
Althera,1,1,5,0,0
Altheria,9,1,61,0,0
Althia,31,1,211,0,0
Altia,3,1,18,0,0
Altie,61,0.967213114754098,650,0.0327868852459016,10
Altin,11,0,0,1,97
Altina,10,1,56,0,0
Alto,63,0.0793650793650794,31,1,561
Alton,132,0.371212121212121,376,1,45621
Altonette,2,1,12,0,0
Altonia,2,0.5,5,0.5,7
Altonio,27,0,0,1,194
Altonya,1,1,5,0,0
Altoria,1,1,5,0,0
Altouise,3,1,17,0,0
Altovese,1,1,6,0,0
Altovise,13,1,144,0,0
Altrice,1,1,5,0,0
Altrina,1,1,5,0,0
Altus,13,0,0,1,82
Alucard,3,0,0,1,19
Aluel,4,1,24,0,0
Alula,2,0,0,1,11
Aluna,1,1,5,0,0
Alundra,3,1,23,0,0
Alura,27,1,429,0,0
Alusine,2,0,0,1,10
Alva,132,1,8544,0.96969696969697,11155
Alvada,6,1,37,0,0
Alvah,98,0.112244897959184,71,1,1784
Alvan,76,0,0,1,1096
Alvana,1,1,6,0,0
Alvania,4,1,20,0,0
Alvar,10,0,0,1,81
Alvaretta,9,1,70,0,0
Alvarez,8,0,0,1,48
Alvaro,98,0.0102040816326531,5,1,13414
Alve,4,0,0,1,24
Alveda,25,1,168,0,0
Alveena,5,1,30,0,0
Alveiro,2,0,0,1,12
Alven,49,0,0,1,457
Alvena,92,1,1601,0,0
Alvene,1,1,6,0,0
Alvenia,49,1,420,0,0
Alver,19,0.0526315789473684,5,0.947368421052632,119
Alvera,77,1,2516,0,0
Alverda,62,1,890,0,0
Alveretta,5,1,30,0,0
Alveria,17,1,106,0,0
Alvern,13,0.307692307692308,21,0.692307692307692,55
Alverna,60,1,991,0,0
Alverne,2,1,12,0,0
Alvernia,1,1,5,0,0
