Name,YearsAppearing,PropFemale,CountsFemale,PropMale,CountsMale
Aarjav,1,0,0,1,8
Aarn,3,0,0,1,17
Aarna,7,1,392,0,0
Aarnav,9,0,0,1,208
Aarnavi,1,1,5,0,0
Aarne,2,0,0,1,10
Aarohi,10,1,108,0,0
Aaron,132,0.621212121212121,4171,1,531225
Aarona,1,1,5,0,0
Aaronda,1,1,5,0,0
Aaronette,2,1,11,0,0
Aaronisha,1,1,6,0,0
Aaronjacob,1,0,0,1,5
Aaronjames,13,0,0,1,90
Aaronjohn,4,0,0,1,21
Aaronjoseph,1,0,0,1,7
Aaronjosh,1,0,0,1,5
Aaronjoshua,2,0,0,1,10
Aaronlee,1,0,0,1,5
Aaronmichael,9,0,0,1,69
Aaronn,4,0,0,1,22
Aaroosh,1,0,0,1,6
Aarren,1,0,0,1,5
Aarron,48,0,0,1,1172
Aarsh,4,0,0,1,22
Aarshiya,1,1,5,0,0
Aarthi,15,1,104,0,0
Aarti,39,1,421,0,0
Aarush,10,0,0,1,951
Aarushi,13,1,478,0,0
Aarvi,1,1,7,0,0
Aarya,12,1,483,1,205
Aaryah,3,1,16,0,0
Aaryan,11,0,0,1,665
Aaryana,9,1,68,0,0
Aaryanna,13,1,169,0,0
Aaryav,2,0,0,1,19
Aaryn,39,1,762,0.794871794871795,512
Aaryona,1,1,5,0,0
Aasha,21,1,213,0,0
Aashana,1,1,5,0,0
Aashay,3,0,0,1,18
Aashi,10,1,291,0,0
Aashia,1,1,6,0,0
Aashika,5,1,29,0,0
Aashini,1,1,5,0,0
Aashir,9,0,0,1,62
Aashirya,1,1,5,0,0
Aashish,17,0,0,1,120
Aashita,1,1,6,0,0
Aashiyana,1,1,5,0,0
Aashka,13,1,95,0,0
Aashna,19,1,426,0,0
Aashni,5,1,33,0,0
Aashrita,2,1,21,0,0
Aashrith,5,0,0,1,57
Aashritha,5,1,72,0,0
Aashvi,8,1,71,0,0
Aasia,19,1,163,0,0
Aasim,19,0,0,1,154
Aasin,8,0,0,1,52
Aasir,2,0,0,1,13
Aasiya,11,1,96,0,0
Aasiyah,15,1,296,0,0
Aason,1,0,0,1,5
Aastha,13,1,228,0,0
Aatif,2,0,0,1,10
Aatish,2,0,0,1,11
Aava,5,1,43,0,0
Aaven,3,0,0,1,20
Aavi,1,0,0,1,7
Aavin,1,0,0,1,5
Aavion,2,0,0,1,10
Aaya,6,1,38,0,0
Aayaan,2,0,0,1,14
Aayah,3,1,17,0,0
Aayan,9,0,0,1,556
Aayana,11,1,90,0,0
Aayanah,2,1,10,0,0
Aayanna,7,1,38,0,0
Aayden,9,0.111111111111111,5,1,531
Aayla,7,1,177,0,0
Aaylah,3,1,18,0,0
Aayliah,8,1,58,0,0
Aayush,15,0,0,1,728
Aayushi,12,1,151,0,0
Aazim,1,0,0,1,10
Aaziyah,1,1,9,0,0
Ab,26,0,0,1,344
Aba,5,0.8,22,0.2,5
Abaan,2,0,0,1,10
Abad,11,0,0,1,70
Abagael,20,1,205,0,0
Abagail,46,1,4856,0,0
Abagaile,3,1,15,0,0
Abagale,21,1,330,0,0
Abagayle,17,1,312,0,0
Abaigael,2,1,13,0,0
Abaigail,2,1,10,0,0
Abaigeal,22,1,281,0,0
Aban,1,0,0,1,5
Abanoub,14,0,0,1,101
Abas,6,0,0,1,46
Abasi,6,0,0,1,40
Abass,8,0,0,1,50
Abayomi,29,0,0,1,215
Abb,16,0,0,1,96
Abba,3,0.333333333333333,6,0.666666666666667,12
Abbaas,1,0,0,1,5
Abbagail,27,1,724,0,0
Abbagale,13,1,119,0,0
Abbagayle,15,1,104,0,0
Abbas,37,0,0,1,849
Abbe,60,1,1319,0,0
Abbee,19,1,153,0,0
Abbegail,20,1,241,0,0
Abbegale,12,1,82,0,0
Abbegayle,10,1,73,0,0
Abbey,77,0.974025974025974,16109,0.0779220779220779,35
Abbeygail,8,1,50,0,0
Abbeygale,3,1,22,0,0
Abbi,43,1,1818,0,0
Abbie,132,1,20040,0.318181818181818,325
Abbiegail,16,1,196,0,0
Abbiegale,7,1,47,0,0
Abbiegayle,2,1,13,0,0
Abbigael,16,1,142,0,0
Abbigail,47,1,9653,0.0212765957446809,5
Abbigaile,10,1,85,0,0
Abbigal,14,1,130,0,0
Abbigale,28,1,1789,0,0
Abbigayl,5,1,29,0,0
Abbigayle,26,1,1134,0,0
Abbilyn,1,1,7,0,0
Abbot,1,0,0,1,6
Abbott,70,0.0142857142857143,5,1,693
