Name,YearsAppearing,CountsFemale,CountsMale,ProbGender,Upper,Lower
Laurell,2,6,0,Female,1,0.609665712097835
Laurelle,11,53,0,Female,1,0.932418011423458
Lauren,16,50465,3,Female,0.99997978360772,0.999825227294671
Lauren-jade,2,7,0,Female,1,0.645669564933313
Lauren-lou,1,1,0,Female,1,0.0512932943875506
Lauren-louise,3,8,0,Female,1,0.67559243511612
Lauren-mae,1,3,0,Female,1,0.438502968244955
Lauren-marie,4,13,0,Female,1,0.771904627645802
Lauren-rose,2,7,0,Female,1,0.645669564933313
Laurena,1,3,0,Female,1,0.438502968244955
Laurence,16,0,2070,Male,1,0.998147660321692
Laurene,1,5,0,Female,1,0.565517535216825
Laurenne,2,6,0,Female,1,0.609665712097835
Laurens,2,0,7,Male,1,0.645669564933313
Laurent,11,0,59,Male,1,0.938870629473212
Laurentiu,2,0,6,Male,1,0.609665712097835
Lauretta,7,25,0,Female,1,0.866807749060952
Lauri,6,17,0,Female,1,0.815681864991148
Laurianne,1,3,0,Female,1,0.438502968244955
Laurice,1,3,0,Female,1,0.438502968244955
Laurie,16,537,468,Female,0.564978772580911,0.503416513315308
Laurie-anne,1,4,0,Female,1,0.510109163545403
Laurin,1,0,1,Male,1,0.0512932943875506
Laurina,1,1,0,Female,1,0.0512932943875506
Lauris,1,0,4,Male,1,0.510109163545403
Laurissa,3,13,0,Female,1,0.771904627645802
Laurren,2,7,0,Female,1,0.645669564933313
Lauryn,16,1663,0,Female,1,0.997695366406706
Laurynas,2,0,9,Male,1,0.700854951580456
Lava,4,13,0,Female,1,0.771904627645802
Lavan,2,0,6,Male,1,0.609665712097835
Lavanya,10,54,0,Female,1,0.933586411909104
Laveen,1,3,0,Female,1,0.438502968244955
Laveeza,1,3,0,Female,1,0.438502968244955
Lavell,2,0,6,Male,1,0.609665712097835
Lavelle,2,3,3,Male,0.812383693517349,0.187616306482651
Lavender,4,15,0,Female,1,0.796116698964151
Laverne,1,5,0,Female,1,0.565517535216825
Lavia,1,3,0,Female,1,0.438502968244955
Lavin,4,21,0,Female,1,0.845360981075153
Lavina,9,34,0,Female,1,0.898485445846676
Lavinia,16,326,0,Female,1,0.988353620450174
Law,1,0,3,Male,1,0.438502968244955
Lawan,3,0,12,Male,1,0.757505993344759
Lawand,7,0,54,Male,1,0.933586411909104
Lawe,1,0,3,Male,1,0.438502968244955
Lawen,1,0,3,Male,1,0.438502968244955
Lawey,1,0,1,Male,1,0.0512932943875506
Lawi,2,0,15,Male,1,0.796116698964151
Lawin,1,0,3,Male,1,0.438502968244955
Lawrance,3,0,9,Male,1,0.700854951580456
Lawren,1,3,0,Female,1,0.438502968244955
Lawrence,16,0,2236,Male,1,0.998284941639255
Lawrey,1,1,0,Female,1,0.0512932943875506
Lawrie,11,1,57,Male,0.999115632855387,0.90859141906532
Lawson,16,0,374,Male,1,0.989833146334222
Lawton,3,0,10,Male,1,0.722467200137111
Lawy,1,0,6,Male,1,0.609665712097835
Laxman,1,0,3,Male,1,0.438502968244955
Laxmi,6,24,0,Female,1,0.86202379532502
Laxshan,2,0,7,Male,1,0.645669564933313
Laya,7,64,0,Female,1,0.943375940207195
Layaan,2,10,0,Female,1,0.722467200137111
Layah,8,34,0,Female,1,0.898485445846676
Layal,10,42,0,Female,1,0.916201209134296
Layali,2,6,0,Female,1,0.609665712097835
Layan,9,96,0,Female,1,0.961524412142324
Layana,2,6,0,Female,1,0.609665712097835
Layba,4,23,0,Female,1,0.856883381549573
