Name,Year,F,M
Chaise,1998,4,3
Chaise,1999,5,0
Chaise,2000,5,0
Chaise,2001,3,0
Chaise,2003,4,0
Chaise,2005,0,3
Chaise,2008,4,0
Chaise,2009,0,4
Chaise,2010,3,5
Chaise,2011,0,13
Chaise,2012,4,8
Chaitan,2012,0,1
Chaitanya,2007,0,3
Chaitanya,2011,0,3
Chaitanya,2012,0,1
Chaitra,2010,3,0
Chaiya,2009,3,0
Chak,2012,0,1
Chakotay,2000,0,4
Chala,2009,1,0
Chalcedony,2010,1,0
Chalice,1996,3,0
Chalice,1997,3,0
Challis,2000,0,3
Cham,2009,0,1
Champagne,2009,3,0
Chan,1996,0,3
Chan,1997,0,8
Chana,1996,11,0
Chana,1997,8,0
Chana,1998,13,0
Chana,1999,20,0
Chana,2000,6,0
Chana,2001,18,0
Chana,2002,12,0
Chana,2003,17,0
Chana,2004,9,0
Chana,2005,14,0
Chana,2006,19,0
Chana,2007,17,0
Chana,2008,18,0
Chana,2009,23,0
Chana,2010,14,0
Chana,2011,17,0
Chana,2012,14,0
Chanade,2003,3,0
Chanade,2008,3,0
Chanae,2002,6,0
Chanae,2003,5,0
Chanae,2005,5,0
Chanae,2006,3,0
Chanae,2007,8,0
Chanae,2008,7,0
Chanae,2010,5,0
Chanae,2011,3,0
Chanah,2009,3,0
Chanah,2011,1,0
Chanai,2005,3,0
Chanai,2006,5,0
Chanai,2008,3,0
Chanai,2009,3,0
Chanais,2001,3,0
Chanais,2002,3,0
Chanan,2011,0,3
Chanay,1998,3,0
Chanay,2000,3,0
Chanay,2002,3,0
Chanay,2005,7,0
Chanay,2006,4,0
Chanay,2007,3,0
Chanay,2009,3,0
Chanay,2010,3,0
Chanaya,2010,4,0
Chanaye,2001,3,0
Chance,1996,3,13
Chance,1997,4,16
Chance,1998,4,8
Chance,1999,0,17
Chance,2000,4,9
Chance,2001,0,12
Chance,2002,3,10
Chance,2003,3,13
Chance,2004,0,11
Chance,2005,4,11
Chance,2006,5,7
Chance,2007,0,11
Chance,2008,3,10
Chance,2009,0,14
Chance,2010,3,19
Chance,2011,6,11
Chance,2012,6,18
Chand,1996,0,5
Chand,1999,3,0
Chand,2000,0,3
Chand,2006,3,0
Chanda,1997,4,0
Chandan,1999,0,4
Chandan,2000,0,6
Chandan,2001,0,3
Chandani,1996,3,0
Chandani,1999,3,0
Chandani,2006,4,0
Chandler,1996,0,37
Chandler,1997,4,56
Chandler,1998,5,69
Chandler,1999,0,58
Chandler,2000,0,52
Chandler,2001,0,35
Chandler,2002,0,26
Chandler,2003,0,21
Chandler,2004,0,11
Chandler,2005,0,9
Chandler,2006,0,10
Chandler,2007,0,9
Chandler,2008,0,3
Chandler,2009,0,6
Chandler,2011,0,3
Chandler,2012,0,7
Chandni,1996,22,0
Chandni,1997,26,0
Chandni,1998,19,0
Chandni,1999,11,0
Chandni,2000,15,0
Chandni,2001,7,0
Chandni,2002,7,0
Chandni,2003,4,0
Chandni,2004,6,0
Chandni,2005,5,0
Chandni,2006,4,0
Chandni,2007,7,0
Chandni,2008,3,0
Chandni,2010,3,0
Chandni,2011,4,0
Chandni,2012,3,0
Chandon,1999,0,10
Chandon,2001,0,3
Chandon,2004,3,0
Chandon,2011,1,0
Chandra,1998,3,0
Chandra,2000,4,0
Chandra,2001,3,0
Chandrabir,2012,0,1
Chandresh,1998,0,3
Chandrika,1997,3,0
Chanel,1996,116,0
Chanel,1997,105,0
Chanel,1998,86,0
Chanel,1999,98,0
Chanel,2000,68,0
Chanel,2001,75,0
Chanel,2002,96,0
Chanel,2003,101,0
Chanel,2004,112,0
Chanel,2005,112,0
Chanel,2006,124,0
Chanel,2007,95,0
Chanel,2008,70,0
Chanel,2009,70,0
Chanel,2010,66,0
Chanel,2011,61,0
Chanel,2012,70,0
Chanell,1996,8,0
Chanell,1997,8,0
Chanell,1998,5,0
Chanell,1999,7,0
Chanell,2000,6,0
Chanell,2002,3,0
Chanell,2003,11,0
Chanell,2004,10,0
Chanell,2005,6,0
Chanell,2006,6,0
Chanell,2007,5,0
Chanell,2009,3,0
Chanell,2010,4,0
Chanell,2011,4,0
Chanelle,1996,83,0
Chanelle,1997,81,0
Chanelle,1998,88,0
Chanelle,1999,80,0
Chanelle,2000,59,0
Chanelle,2001,65,0
Chanelle,2002,50,0
Chanelle,2003,76,0
Chanelle,2004,81,0
Chanelle,2005,68,0
Chanelle,2006,84,0
Chanelle,2007,143,0
Chanelle,2008,132,0
Chanelle,2009,90,0
Chanelle,2010,74,0
Chanelle,2011,71,0
Chanelle,2012,41,0
Chang,2002,0,3
Chang,2010,0,3
Chang,2012,0,3
Chani,1996,4,0
Chani,1999,4,0
Chani,2001,4,0
Chani,2003,6,0
Chani,2004,4,0
Chani,2005,6,0
Chani,2008,8,0
Chani,2009,5,0
Chani,2010,6,0
Chani,2011,5,0
Chani,2012,6,0
Chania,1996,3,0
Chania,2004,3,0
Chania,2009,3,0
Chanice,1996,37,0
Chanice,1997,31,0
Chanice,1998,23,0
Chanice,1999,13,0
Chanice,2000,16,0
Chanice,2001,19,0
Chanice,2002,8,0
Chanice,2003,10,0
Chanice,2004,18,0
Chanice,2005,8,0
Chanice,2006,10,0
Chanice,2007,4,0
Chanice,2008,8,0
Chanice,2009,5,0
Chanice,2010,4,0
Chanice,2011,7,0
Chanice,2012,7,0
Chanie,2003,3,0
Chaniece,1996,3,0
Chaniece,1997,7,0
Chaniece,1998,3,0
Chaniece,2006,3,0
Chaniece,2011,1,0
Chaniece,2012,1,0
Chaniel,2009,0,4
Chanique,2002,3,0
Chanique,2003,3,0
Chanise,1996,9,0
Chanise,1997,10,0
Chanise,1998,3,0
Chanise,2001,3,0
Chanise,2006,8,0
Chanise,2007,5,0
Chanise,2008,4,0
Chaniya,2005,3,0
Chaniya,2009,6,0
Chaniya,2010,3,0
Chanjot,2011,0,1
Channa,1998,4,0
Channa,1999,4,0
Channah,2000,3,0
Channah,2005,3,0
Channah,2009,1,0
Channay,2005,4,0
Channel,1996,9,0
Channel,1997,5,0
Channel,1998,11,0
Channel,1999,7,0
Channel,2000,9,0
Channel,2001,8,0
Channel,2002,4,0
Channel,2003,8,0
Channel,2004,8,0
Channel,2005,9,0
Channel,2006,4,0
Channel,2009,6,0
Channel,2010,3,0
Channelle,1996,11,0
Channelle,1997,5,0
Channelle,1998,5,0
Channelle,2000,10,0
Channelle,2001,5,0
Channelle,2002,4,0
Channelle,2003,7,0
Channelle,2004,10,0
Channelle,2005,8,0
Channelle,2006,10,0
Channelle,2007,9,0
Channelle,2008,11,0
Channelle,2009,3,0
Channelle,2010,7,0
Channelle,2011,5,0
Channing,1996,3,0
Channing,1999,3,0
Channing,2009,0,3
Channing,2010,0,4
Channing,2011,0,7
Channing,2012,0,8
Channing-lee,2012,1,0
Channon,1996,11,0
Channon,1997,9,0
Channon,1998,13,0
Channon,1999,9,0
Channon,2000,3,0
Channon,2002,5,0
Channon,2003,6,0
Channon,2004,3,0
Channon,2008,3,0
Chanpreet,2004,4,0
Chanta,1996,3,0
Chantae,1996,4,0
Chantae,1997,3,0
Chantae,1998,5,0
Chantae,2000,5,0
Chantae,2001,5,0
Chantae,2002,7,0
Chantae,2003,7,0
Chantae,2004,9,0
Chantae,2005,3,0
Chantae,2006,3,0
Chantae,2009,1,0
Chantae,2010,4,0
Chantae,2012,3,0
Chantai,2002,5,0
Chantai,2003,6,0
Chantai,2004,3,0
Chantai,2005,3,0
Chantai,2007,3,0
Chantai,2008,3,0
Chantai,2009,3,0
Chantal,1996,43,0
Chantal,1997,34,0
Chantal,1998,42,0
Chantal,1999,36,0
Chantal,2000,28,0
Chantal,2001,31,0
Chantal,2002,27,0
Chantal,2003,21,0
Chantal,2004,19,0
Chantal,2005,17,0
Chantal,2006,8,0
Chantal,2007,11,0
Chantal,2008,3,0
Chantal,2010,3,0
Chantal,2011,3,0
Chantal,2012,3,0
Chantalle,1996,4,0
Chantalle,1997,4,0
Chantalle,1998,4,0
Chantalle,2000,3,0
Chantalle,2001,3,0
Chantalle,2003,3,0
Chantay,1996,8,0
Chantay,1997,14,0
Chantay,1998,4,0
Chantay,1999,3,0
Chantay,2000,5,0
Chantay,2001,6,0
Chantay,2002,4,0
Chantay,2003,6,0
Chantay,2005,3,0
Chantay,2006,4,0
Chantay,2007,3,0
Chantay,2008,3,0
Chantaya,2005,3,0
Chante,1996,40,0
Chante,1997,37,0
Chante,1998,21,0
Chante,1999,17,0
Chante,2000,18,0
Chante,2001,35,0
Chante,2002,37,0
Chante,2003,24,0
Chante,2004,12,0
Chante,2005,12,0
Chante,2006,12,0
Chante,2007,6,0
Chante,2008,6,0
Chante,2009,5,0
Chante,2011,3,0
Chantel,1996,74,0
Chantel,1997,57,0
Chantel,1998,88,0
Chantel,1999,72,0
Chantel,2000,61,0
Chantel,2001,49,0
Chantel,2002,42,0
Chantel,2003,56,0
Chantel,2004,48,0
Chantel,2005,46,0
Chantel,2006,11,0
Chantel,2007,9,0
Chantel,2008,13,0
Chantel,2009,20,0
Chantel,2010,17,0
Chantel,2011,9,0
Chantel,2012,5,0
Chantele,1996,5,0
Chantell,1996,12,0
Chantell,1997,13,0
Chantell,1998,13,0
Chantell,1999,10,0
Chantell,2000,4,0
Chantell,2001,6,0
Chantell,2002,9,0
Chantell,2003,15,0
Chantell,2004,11,0
Chantell,2005,15,0
Chantell,2006,4,0
Chantell,2007,3,0
Chantell,2008,7,0
Chantell,2009,5,0
Chantell,2010,4,0
Chantelle,1996,609,0
Chantelle,1997,581,0
Chantelle,1998,547,0
Chantelle,1999,404,0
Chantelle,2000,344,0
Chantelle,2001,326,0
Chantelle,2002,286,0
Chantelle,2003,264,0
Chantelle,2004,213,0
Chantelle,2005,233,0
Chantelle,2006,239,0
Chantelle,2007,180,0
Chantelle,2008,120,0
Chantelle,2009,126,0
Chantelle,2010,106,0
Chantelle,2011,83,0
Chantelle,2012,83,0
Chantilly,2006,4,0
Chantilly,2008,4,0
Chanuthmee,2010,1,0
Chanya,2007,3,0
Chanya,2009,3,0
Chanya,2010,1,0
Chara,2008,3,0
Chara,2009,1,0
Chara,2010,3,0
Chara,2011,3,0
Chara,2012,3,0
Charalambos,1996,0,7
Charalambos,1998,0,4
Charalambos,1999,0,4
Charan,1999,0,3
Charan,2002,0,5
Charan,2004,0,3
Charan,2005,0,3
Charan,2006,0,5
Charan,2008,0,4
Charan,2009,3,0
Charan,2012,0,4
Charanjit,2009,0,1
Charbel,1998,0,6
Charbel,2002,0,3
Charbel,2006,0,5
Charbel,2007,0,5
Charbel,2009,0,3
Chardae,1997,5,0
Chardae,2001,3,0
Chardae,2005,3,0
Chardae,2008,4,0
Chardae,2011,5,0
Chardai,2002,3,0
Chardannay,2003,3,0
Charday,1998,3,0
Charday,2000,4,0
Charday,2005,4,0
Chardenay,2006,3,0
Chardonai,2003,3,0
Chardonay,1997,3,0
Chardonay,2002,14,0
Chardonay,2003,9,0
Chardonay,2004,15,0
Chardonay,2005,12,0
Chardonay,2006,5,0
Chardonay,2008,3,0
Chardonay,2010,3,0
Chardoney,2005,3,0
Chardonnai,2002,3,0
Chardonnay,1999,3,0
Chardonnay,2001,3,0
Chardonnay,2002,58,0
Chardonnay,2003,101,0
Chardonnay,2004,95,0
Chardonnay,2005,66,0
Chardonnay,2006,36,0
Chardonnay,2007,34,0
Chardonnay,2008,27,0
Chardonnay,2009,18,0
Chardonnay,2010,10,0
Chardonnay,2011,16,0
Chardonnay,2012,10,0
Charelle,1996,7,0
Charelle,1997,7,0
Charelle,2001,3,0
Charelle,2011,1,0
Charice,1996,3,0
Charice,2011,3,0
Charis,1996,52,0
Charis,1997,61,0
Charis,1998,76,0
Charis,1999,90,0
Charis,2000,70,0
Charis,2001,57,0
Charis,2002,49,0
Charis,2003,44,0
Charis,2004,62,0
Charis,2005,54,0
Charis,2006,32,0
Charis,2007,30,0
Charis,2008,34,0
Charis,2009,42,0
Charis,2010,38,1
Charis,2011,38,0
Charis,2012,37,0
Charise,1997,5,0
Charisma,2000,6,0
Charisma,2001,8,0
Charisma,2002,10,0
Charisma,2003,7,0
Charisma,2004,5,0
Charisma,2005,5,0
Charisma,2006,6,0
Charisma,2007,5,0
Charisma,2008,6,0
Charisma,2009,3,0
Charisma,2010,4,0
Charissa,1998,5,0
Charissa,2001,3,0
Charissa,2003,3,0
Charissa,2004,3,0
Charissa,2005,3,0
Charissa,2008,6,0
Charissa,2009,3,0
Charissa,2010,2,0
Charissa,2012,4,0
Charisse,1996,7,0
Charisse,1998,5,0
Charisse,1999,10,0
Charisse,2000,3,0
Charisse,2002,6,0
Charisse,2003,6,0
Charisse,2004,6,0
Charisse,2006,5,0
Charisse,2007,6,0
Charisse,2008,5,0
Charisse,2009,3,0
Charisse,2010,1,0
Charisse,2011,3,0
Charitini,2011,1,0
Charity,1996,12,0
Charity,1997,18,0
Charity,1998,8,0
Charity,1999,6,0
Charity,2000,7,0
Charity,2001,22,0
Charity,2002,13,0
Charity,2003,11,0
Charity,2004,6,0
Charity,2005,5,0
Charity,2006,7,0
Charity,2007,3,0
Charity,2008,4,0
Charity,2009,9,0
Charity,2010,8,0
Charity,2011,1,0
Charity,2012,1,0
Charl,2006,0,3
Charl,2009,0,4
Charla,1996,3,0
Charla,1998,4,0
Charla,2000,4,0
Charla,2002,4,0
Charla,2004,6,0
Charla,2005,6,0
Charla,2007,5,0
Charla,2011,3,0
Charlay,2011,0,2
Charlay,2012,1,0
Charlea,1996,9,0
Charlea,1997,12,0
Charlea,1998,10,0
Charlea,1999,17,0
Charlea,2001,8,0
Charlea,2002,7,0
Charlea,2003,7,0
Charlea,2004,5,0
Charlea,2005,5,0
Charlea,2009,3,0
Charlea,2011,4,0
Charlea,2012,5,0
Charlee,1996,27,6
Charlee,1997,35,5
Charlee,1998,30,5
Charlee,1999,41,7
Charlee,2000,34,9
Charlee,2001,24,4
Charlee,2002,32,6
Charlee,2003,25,4
Charlee,2004,26,7
Charlee,2005,50,8
Charlee,2006,29,10
Charlee,2007,43,10
Charlee,2008,33,11
Charlee,2009,30,9
Charlee,2010,30,12
Charlee,2011,22,18
Charlee,2012,22,22
Charlee-marie,2009,1,0
Charleen,1996,7,0
Charleen,1998,4,0
Charleen,1999,5,0
Charleen,2004,5,0
Charleen,2011,5,0
Charleigh,1996,33,0
Charleigh,1997,29,0
Charleigh,1998,38,0
Charleigh,1999,36,0
Charleigh,2000,35,0
Charleigh,2001,39,0
Charleigh,2002,32,0
Charleigh,2003,40,0
Charleigh,2004,38,0
Charleigh,2005,50,0
Charleigh,2006,33,0
Charleigh,2007,19,0
Charleigh,2008,22,0
Charleigh,2009,20,0
Charleigh,2010,31,0
Charleigh,2011,18,0
Charleigh,2012,25,0
Charleily,2012,0,1
Charlene,1996,78,0
Charlene,1997,73,0
Charlene,1998,57,0
Charlene,1999,54,0
Charlene,2000,35,0
Charlene,2001,43,0
Charlene,2002,36,0
Charlene,2003,55,0
Charlene,2004,35,0
Charlene,2005,24,0
Charlene,2006,35,0
Charlene,2007,22,0
Charlene,2008,28,0
Charlene,2009,14,0
Charlene,2010,19,0
Charlene,2011,23,0
Charlene,2012,16,0
Charles,1996,0,1738
Charles,1997,0,1779
Charles,1998,0,1894
Charles,1999,0,1685
Charles,2000,0,1568
Charles,2001,0,1309
Charles,2002,0,1328
Charles,2003,0,1324
Charles,2004,0,1464
Charles,2005,0,1400
Charles,2006,0,1471
Charles,2007,0,1487
Charles,2008,0,1365
Charles,2009,0,1313
Charles,2010,0,1246
Charles,2011,0,1174
Charles,2012,0,1161
Charlet,2009,1,0
Charlette,1996,3,0
Charlette,1997,4,0
Charlette,1998,6,0
Charlette,1999,3,0
Charlette,2000,3,0
Charlette,2002,3,0
Charlette,2006,3,0
Charley,1996,256,95
Charley,1997,301,101
Charley,1998,310,106
Charley,1999,325,82
Charley,2000,283,80
Charley,2001,234,69
Charley,2002,216,55
Charley,2003,259,59
Charley,2004,238,84
Charley,2005,238,101
Charley,2006,275,112
Charley,2007,268,103
Charley,2008,202,101
Charley,2009,209,111
Charley,2010,226,104
Charley,2011,179,93
Charley,2012,178,105
Charley-ann,1996,6,0
Charley-ann,1997,3,0
Charley-ann,1998,4,0
Charley-ann,1999,3,0
Charley-ann,2000,5,0
Charley-ann,2003,4,0
Charley-ann,2007,4,0
Charley-ann,2008,3,0
Charley-anne,1997,3,0
Charley-anne,1998,3,0
Charley-anne,1999,3,0
Charley-anne,2010,3,0
Charley-jade,2004,3,0
Charley-jo,1996,3,0
Charley-jo,2004,3,0
Charley-jo,2006,3,0
Charley-leigh,2009,1,0
Charley-leigh,2010,1,0
Charley-louise,1997,3,0
Charley-louise,1998,3,0
Charley-mae,2006,4,0
Charley-mae,2007,3,0
Charley-mae,2010,3,0
Charley-mae,2011,3,0
Charley-mae,2012,3,0
Charley-marie,1998,3,0
Charley-marie,2009,1,0
Charley-may,2009,1,0
Charley-may,2011,3,0
Charley-may,2012,3,0
Charley-rose,2011,5,0
Charley-rose,2012,3,0
Charli,1996,21,0
Charli,1997,21,0
Charli,1998,42,0
Charli,1999,25,0
Charli,2000,35,0
Charli,2001,20,0
Charli,2002,33,3
Charli,2003,63,0
Charli,2004,45,0
Charli,2005,51,3
Charli,2006,53,4
Charli,2007,47,8
Charli,2008,15,0
Charli,2009,34,4
Charli,2010,24,3
Charli,2011,25,0
Charli,2012,20,3
Charli-ann,2005,3,0
Charli-anne,2004,3,0
Charli-anne,2006,3,0
Charlianne,2011,1,0
Charlidh,2012,0,1
Charlie,1996,404,1912
Charlie,1997,505,2171
Charlie,1998,500,2413
Charlie,1999,604,2368
Charlie,2000,581,2372
Charlie,2001,563,2265
Charlie,2002,551,2613
Charlie,2003,597,2987
Charlie,2004,573,3723
Charlie,2005,462,4123
Charlie,2006,497,4850
Charlie,2007,382,5343
Charlie,2008,254,5467
Charlie,2009,238,5832
Charlie,2010,224,5858
Charlie,2011,187,6016
Charlie,2012,187,6097
Charlie-,1999,3,0
Charlie-alexander,2011,0,1
Charlie-ann,1996,8,0
Charlie-ann,1997,8,0
Charlie-ann,1998,8,0
Charlie-ann,1999,5,0
Charlie-ann,2000,6,0
Charlie-ann,2001,8,0
Charlie-ann,2002,11,0
Charlie-ann,2003,8,0
Charlie-ann,2004,5,0
Charlie-ann,2005,12,0
Charlie-ann,2006,4,0
Charlie-ann,2008,3,0
Charlie-ann,2010,3,0
Charlie-ann,2011,3,0
Charlie-ann,2012,8,0
Charlie-anne,1996,6,0
Charlie-anne,1997,7,0
Charlie-anne,1998,6,0
Charlie-anne,1999,4,0
Charlie-anne,2000,11,0
Charlie-anne,2001,4,0
Charlie-anne,2002,6,0
Charlie-anne,2004,3,0
Charlie-anne,2005,3,0
Charlie-anne,2008,3,0
Charlie-anne,2009,1,0
Charlie-anne,2011,3,0
Charlie-anne,2012,1,0
Charlie-craig,2012,0,3
Charlie-dean,2009,0,3
Charlie-george,1997,0,3
Charlie-george,1998,0,4
Charlie-george,1999,0,3
Charlie-george,2000,0,3
Charlie-george,2005,0,3
Charlie-george,2006,0,3
Charlie-george,2007,0,6
Charlie-george,2008,0,3
Charlie-george,2009,0,4
Charlie-george,2011,0,6
Charlie-george,2012,0,5
Charlie-hannah,2011,1,0
Charlie-jack,2003,0,3
Charlie-jack,2006,0,5
Charlie-jack,2007,0,3
Charlie-jack,2008,0,3
Charlie-jack,2010,0,4
Charlie-jack,2012,0,7
Charlie-jade,1996,3,0
Charlie-jade,2002,3,0
Charlie-jade,2012,1,0
Charlie-james,2000,0,3
Charlie-james,2003,0,3
Charlie-james,2005,0,4
Charlie-james,2006,0,3
Charlie-james,2008,0,4
Charlie-james,2009,0,8
Charlie-james,2010,0,8
Charlie-james,2011,0,19
Charlie-james,2012,0,25
Charlie-jamie,2012,0,1
Charlie-jane,2000,4,0
Charlie-jane,2004,3,0
Charlie-jay,2005,0,3
Charlie-jay,2007,0,7
Charlie-jay,2009,0,9
Charlie-jay,2010,0,7
Charlie-jay,2011,0,10
Charlie-jay,2012,0,7
Charlie-jo,1998,3,0
Charlie-jo,1999,4,0
Charlie-jo,2003,3,0
Charlie-joe,2005,0,3
Charlie-joe,2007,0,3
Charlie-joe,2008,0,3
Charlie-joe,2009,0,3
Charlie-joe,2010,0,6
Charlie-joe,2011,0,7
Charlie-joe,2012,0,5
Charlie-john,2011,0,3
Charlie-john,2012,0,6
Charlie-lee,2012,0,3
Charlie-leigh,1998,3,0
Charlie-leigh,2006,4,0
Charlie-leigh,2008,3,0
Charlie-leigh,2010,1,0
Charlie-leigh,2012,4,0
Charlie-louise,1997,3,0
Charlie-louise,1998,3,0
Charlie-louise,1999,6,0
Charlie-louise,2003,3,0
Charlie-louise,2005,3,0
Charlie-louise,2006,3,0
Charlie-louise,2007,3,0
Charlie-mae,2001,3,0
Charlie-mae,2002,4,0
Charlie-mae,2004,4,0
Charlie-mae,2009,3,0
Charlie-mae,2010,3,0
Charlie-mae,2011,6,0
Charlie-mae,2012,3,0
Charlie-mai,2001,3,0
Charlie-marie,1999,3,0
Charlie-marie,2001,4,0
Charlie-marie,2005,6,0
Charlie-may,2004,3,0
Charlie-may,2006,3,0
Charlie-may,2007,4,0
Charlie-may,2008,6,0
Charlie-may,2009,4,0
Charlie-may,2010,3,0
Charlie-may,2012,6,0
Charlie-rae,2011,4,0
Charlie-ray,2005,0,4
Charlie-ray,2006,0,3
Charlie-ray,2007,0,8
Charlie-ray,2008,0,4
Charlie-ray,2009,0,6
Charlie-ray,2010,0,3
Charlie-ray,2011,0,5
Charlie-ray,2012,0,5
Charlie-rose,2003,5,0
Charlie-rose,2006,3,0
Charlieann,2001,3,0
Charliedavid,2011,0,1
Charliedon,2011,0,1
Charliee,2012,3,0
Charliegh,1999,3,0
Charliegh,2007,3,0
Charlii,2010,1,0
Charlii,2011,1,0
Charlii,2012,1,0
Charlina,2001,3,0
Charline,1996,3,0
Charline,1999,3,0
Charline,2011,3,0
Charlise,2003,4,0
Charlise,2006,3,0
Charlize,2000,6,0
Charlize,2001,18,0
Charlize,2002,12,0
Charlize,2003,12,0
Charlize,2004,41,0
Charlize,2005,35,0
Charlize,2006,45,0
Charlize,2007,22,0
Charlize,2008,13,0
Charlize,2009,12,0
Charlize,2010,18,0
Charlize,2011,9,0
Charlize,2012,16,0
Charlotta,2005,3,0
Charlotta,2009,1,0
Charlotte,1996,5866,0
Charlotte,1997,5567,0
Charlotte,1998,5489,0
Charlotte,1999,5014,0
Charlotte,2000,4834,0
Charlotte,2001,4531,0
Charlotte,2002,4260,0
Charlotte,2003,3876,0
Charlotte,2004,3877,0
Charlotte,2005,3571,0
Charlotte,2006,3285,0
Charlotte,2007,3127,0
Charlotte,2008,3010,0
Charlotte,2009,3040,0
Charlotte,2010,2831,0
Charlotte,2011,2662,0
Charlotte,2012,2552,0
Charlotte-ann,1998,3,0
Charlotte-ann,1999,3,0
Charlotte-ann,2009,1,0
Charlotte-ann,2012,1,0
Charlotte-anne,1996,3,0
Charlotte-anne,1999,3,0
Charlotte-anne,2010,1,0
Charlotte-clare,2012,1,0
Charlotte-louise,1996,5,0
Charlotte-louise,1997,5,0
Charlotte-louise,1998,7,0
Charlotte-louise,1999,3,0
Charlotte-louise,2001,3,0
Charlotte-louise,2004,4,0
Charlotte-louise,2006,4,0
Charlotte-louise,2011,1,0
Charlotte-marie,1998,3,0
Charlotte-may,2008,4,0
Charlotte-may,2012,3,0
Charlotte-rose,1996,3,0
Charlotte-rose,1999,3,0
Charlotte-rose,2002,3,0
Charlotte-rose,2003,3,0
Charlotte-rose,2009,5,0
Charlotte-rose,2010,3,0
Charlotte-rose,2011,6,0
Charlotte-rose,2012,4,0
Charls,2010,0,1
Charlton,1996,0,15
Charlton,1997,0,18
Charlton,1998,0,12
Charlton,1999,0,10
Charlton,2000,0,11
Charlton,2001,0,7
Charlton,2002,0,5
Charlton,2003,0,6
Charlton,2004,0,9
Charlton,2005,0,11
Charlton,2006,0,5
Charlton,2007,0,4
Charlton,2008,0,7
Charlton,2009,1,6
Charlton,2010,0,5
Charlton,2011,0,9
Charlton,2012,0,5
Charly,1996,33,11
Charly,1997,33,6
Charly,1998,33,13
Charly,1999,41,6
Charly,2000,28,7
Charly,2001,37,5
Charly,2002,26,6
Charly,2003,26,9
Charly,2004,21,8
Charly,2005,24,17
Charly,2006,27,6
Charly,2007,13,8
Charly,2008,17,7
Charly,2009,15,7
Charly,2010,11,8
Charly,2011,15,10
Charly,2012,10,11
Charly-taylor,2012,0,1
Charlye,2009,1,0
Charm,1999,3,0
Charm,2002,5,0
Charm,2006,3,0
Charm,2008,4,0
Charm,2010,5,0
Charmain,1996,4,0
Charmain,1997,4,0
Charmain,1998,3,0
Charmain,2001,3,0
Charmain,2004,3,0
Charmaine,1996,111,0
Charmaine,1997,70,0
Charmaine,1998,80,0
Charmaine,1999,50,0
Charmaine,2000,42,0
Charmaine,2001,47,0
Charmaine,2002,33,0
Charmaine,2003,32,0
Charmaine,2004,31,0
Charmaine,2005,23,0
Charmaine,2006,21,0
Charmaine,2007,25,0
Charmaine,2008,21,0
Charmaine,2009,16,0
Charmaine,2010,12,0
Charmaine,2011,16,0
Charmaine,2012,8,0
Charmi,2009,3,0
Charmi,2011,5,0
Charmian,1997,4,0
Charmian,1998,3,0
Charmian,2000,3,0
Charna,1996,3,0
Charna,1997,3,0
Charna,1999,3,0
Charna,2000,4,0
Charna,2006,3,0
Charna,2007,3,0
Charna,2008,3,0
Charna,2011,3,0
Charnae,2005,3,0
Charnae,2007,3,0
Charne,1997,3,0
Charnel,1999,3,0
Charnelle,1996,3,0
Charnelle,1997,6,0
Charnelle,1998,3,0
Charnelle,2003,3,0
Charnelle,2008,4,0
Charney,1997,3,0
Charnie,1996,3,0
Charnie,2003,4,0
Charu,2009,1,0
Charvi,2006,8,0
Charvi,2009,7,0
Charvi,2010,7,0
Charvi,2011,5,0
Charvi,2012,3,0
Charys,1996,3,0
Charys,1997,3,0
Charys,1999,3,0
Charys,2000,3,0
Charys,2003,3,0
Chas,1996,0,8
Chas,1997,0,4
Chas,1998,0,5
Chas,2000,0,3
Chas,2003,0,5
Chas,2008,0,3
Chase,1996,6,17
Chase,1997,6,27
Chase,1998,11,22
Chase,1999,9,17
Chase,2000,7,17
Chase,2001,9,23
Chase,2002,12,19
Chase,2003,3,33
Chase,2004,8,23
Chase,2005,5,46
Chase,2006,10,52
Chase,2007,8,79
Chase,2008,8,94
Chase,2009,7,148
Chase,2010,3,159
Chase,2011,3,210
Chase,2012,4,254
Chasey,2007,0,3
Chasey,2009,0,4
Chaska,2000,0,3
Chaudhary,1996,0,5
Chaudhary,1999,0,3
Chaudhary,2002,0,3
Chaudhary,2008,0,3
Chaudhary,2011,0,3
Chaudhary,2012,0,4
Chaudhry,1997,0,3
Chaudhry,1998,0,4
Chaudhry,1999,0,5
Chaudhry,2000,0,3
Chaudhry,2001,0,4
Chaudhry,2002,0,3
Chaudhry,2004,0,4
Chaudhry,2006,0,4
Chaudhry,2007,0,3
Chaudhry,2009,0,3
Chaudhry,2012,0,5
Chaudry,1999,0,3
Chauncey,1999,0,3
Chauncey,2012,0,1
Chauntelle,1997,3,0
Chava,1996,3,0
Chava,1997,10,0
Chava,1999,3,0
Chava,2000,5,0
Chava,2001,7,0
Chava,2002,3,0
Chava,2003,5,0
Chava,2004,4,0
Chava,2005,9,0
Chava,2006,6,0
Chava,2007,6,0
Chava,2008,8,0
Chava,2009,8,0
Chava,2010,7,0
Chava,2011,7,0
Chava,2012,12,0
Chave,2002,3,0
Chavez,1996,0,3
Chavi,1999,3,0
Chavi,2000,3,0
Chavi,2002,3,0
Chavi,2003,3,0
Chavi,2006,4,0
Chavi,2007,6,0
Chavi,2008,6,0
