Name,Year,F,M
Aaishah,2009,8,0
Aaishah,2010,16,0
Aaishah,2011,15,0
Aaishah,2012,15,0
Aaiza,2001,6,0
Aaiza,2002,3,0
Aaiza,2004,3,0
Aaiza,2006,3,0
Aaiza,2009,5,0
Aaiza,2011,6,0
Aaiza,2012,10,0
Aaizah,2011,4,0
Aaizah,2012,4,0
Aakarsh,2009,0,3
Aakash,1996,0,9
Aakash,1997,0,11
Aakash,1998,0,13
Aakash,1999,0,10
Aakash,2000,0,4
Aakash,2001,0,7
Aakash,2003,0,6
Aakash,2004,0,8
Aakash,2005,0,7
Aakash,2006,0,3
Aakash,2007,0,4
Aakash,2009,0,4
Aakash,2010,0,4
Aakash,2011,0,6
Aakifa,2006,4,0
Aakifa,2008,3,0
Aakifa,2011,3,0
Aakifah,1997,4,0
Aakifah,1998,7,0
Aakifah,1999,4,0
Aakifah,2000,8,0
Aakifah,2001,10,0
Aakifah,2002,13,0
Aakifah,2003,12,0
Aakifah,2004,11,0
Aakifah,2005,11,0
Aakifah,2006,8,0
Aakifah,2007,7,0
Aakifah,2008,9,0
Aakifah,2009,9,0
Aakifah,2010,5,0
Aakifah,2011,6,0
Aakifah,2012,7,0
Aakriti,2010,1,0
Aakruti,2012,1,0
Aala,1998,3,0
Aala,2002,5,0
Aala,2006,3,0
Aala,2008,4,0
Aala,2010,5,0
Aala,2011,5,0
Aalaa,2007,3,0
Aalaa,2010,5,0
Aalaa,2011,4,0
Aalaya,2011,3,0
Aalayah,2003,3,0
Aalayah,2004,4,0
Aalayah,2008,5,0
Aalayah,2010,5,0
Aalayah,2011,6,0
Aalayah,2012,9,0
Aaleah,2009,4,0
Aaleah,2012,1,0
Aaleen,2012,3,0
Aaleia,2012,1,0
Aaleigha,2007,3,0
Aaleigha,2008,4,0
Aaleigha,2012,1,0
Aaleyah,2004,3,0
Aaleyah,2005,5,0
Aaleyah,2006,4,0
Aaleyah,2007,5,0
Aaleyah,2008,6,0
Aaleyah,2009,16,0
Aaleyah,2010,8,0
Aaleyah,2011,16,0
Aaleyah,2012,19,0
Aalia,1996,9,0
