Name,F,M,Year
Aakifah,9,0,2008
Aakifah,9,0,2009
Aakifah,5,0,2010
Aakifah,6,0,2011
Aakriti,1,0,2010
Aala,3,0,1998
Aala,5,0,2002
Aala,3,0,2006
Aala,4,0,2008
Aala,5,0,2010
Aala,5,0,2011
Aalaa,3,0,2007
Aalaa,5,0,2010
Aalaa,4,0,2011
Aalaya,3,0,2011
Aalayah,3,0,2003
Aalayah,4,0,2004
Aalayah,5,0,2008
Aalayah,5,0,2010
Aalayah,5,0,2011
Aaleah,4,0,2009
Aaleigha,3,0,2007
Aaleigha,4,0,2008
Aaleyah,3,0,2004
Aaleyah,5,0,2005
Aaleyah,4,0,2006
Aaleyah,5,0,2007
Aaleyah,6,0,2008
Aaleyah,16,0,2009
Aaleyah,8,0,2010
Aaleyah,16,0,2011
Aalia,9,0,1996
Aalia,7,0,1997
Aalia,18,0,1999
Aalia,9,0,2000
Aalia,8,0,2001
Aalia,12,0,2002
Aalia,11,0,2003
Aalia,15,0,2004
Aalia,11,0,2005
Aalia,8,0,2006
Aalia,8,0,2007
Aalia,15,0,2008
Aalia,18,0,2009
Aalia,23,0,2010
Aalia,15,0,2011
Aaliah,3,0,1997
Aaliah,3,0,1998
Aaliah,9,0,1999
Aaliah,6,0,2000
Aaliah,16,0,2001
Aaliah,16,0,2002
Aaliah,20,0,2003
Aaliah,17,0,2004
Aaliah,15,0,2005
Aaliah,18,0,2006
Aaliah,7,0,2007
Aaliah,13,0,2008
Aaliah,5,0,2009
Aaliah,4,0,2010
Aaliah,5,0,2011
Aaliegha,1,0,2009
Aalim,0,1,2009
Aalim,0,3,2011
Aalimah,3,0,2007
Aalimah,5,0,2008
Aalimah,3,0,2011
Aalish,1,0,2010
Aalisha,3,0,2000
Aalisha,3,0,2006
Aalisha,3,0,2007
Aalisha,4,0,2010
Aaliya,11,0,1996
Aaliya,11,0,1997
Aaliya,9,0,1998
Aaliya,10,0,1999
Aaliya,20,0,2000
Aaliya,25,0,2001
Aaliya,33,0,2002
Aaliya,28,0,2003
Aaliya,40,0,2004
Aaliya,31,0,2005
Aaliya,25,0,2006
Aaliya,24,0,2007
Aaliya,26,0,2008
Aaliya,25,0,2009
Aaliya,39,0,2010
Aaliya,27,0,2011
Aaliyah,111,0,1996
Aaliyah,128,0,1997
Aaliyah,112,0,1998
Aaliyah,70,0,1999
Aaliyah,147,0,2000
Aaliyah,230,0,2001
Aaliyah,545,0,2002
Aaliyah,537,0,2003
Aaliyah,501,0,2004
Aaliyah,436,0,2005
Aaliyah,498,0,2006
Aaliyah,387,0,2007
Aaliyah,427,0,2008
Aaliyah,438,0,2009
Aaliyah,460,0,2010
Aaliyah,511,0,2011
Aaliyah-louise,3,0,2008
Aaliyah-mae,3,0,2011
Aaliyah-marie,3,0,2007
Aaliyah-rose,5,0,2011
Aaliyan,0,3,2008
Aaliyan,0,4,2009
Aaliyha,5,0,2002
Aaliyha,8,0,2003
Aaliyha,3,0,2006
Aaliyha,4,0,2007
Aaliyha,4,0,2011
Aalliyah,3,0,2009
Aalya,3,0,2011
Aalyah,3,0,2004
Aalyiah,3,0,2006
Aamaira,1,0,2010
Aaman,0,3,1996
Aaman,0,4,1997
Aaman,0,3,2004
Aaman,0,3,2007
