Name,F,M,Year
Alae,1,0,2009
Alaia,1,0,2009
Alaida,1,0,2009
Alaina,1,0,2009
Alaisdair,0,1,2009
Alaistair,0,1,2009
Alamanda,1,0,2009
Alan,0,44,2009
Alana,28,0,2009
Alani,1,0,2009
Alanis,1,0,2009
Alanna,10,0,2009
Alannah,8,0,2009
Alara,1,0,2009
Alasdair,0,32,2009
Alastair,0,23,2009
Alastaire,0,1,2009
Alayna,4,0,2009
Alba,4,0,2009
Albaraa,0,1,2009
Albatol,1,0,2009
Albert,0,2,2009
Albin,0,1,2009
Alby,0,1,2009
Aleah,6,0,2009
Alec,0,2,2009
Alechandre,0,1,2009
Alecia,1,0,2009
Alecia-hayleigh,1,0,2009
Aleecia,1,0,2009
Aleeha,1,0,2009
Aleena,8,0,2009
Aleesha,8,0,2009
Aleeza,6,0,2009
Aleigha,2,0,2009
Aleighya,1,0,2009
Aleisha,9,0,2009
Aleisha-leigh,1,0,2009
Aleisha-marie,1,0,2009
Aleishia,1,0,2009
Alejandro,0,3,2009
Alek,0,1,2009
Aleks,0,2,2009
Aleksander,0,10,2009
Aleksandr,0,1,2009
Aleksandra,14,0,2009
Alesha,39,0,2009
Alesha-jane,1,0,2009
Aleshia,1,0,2009
Alesia,1,0,2009
Alesja,1,0,2009
Alessa,1,0,2009
Alessandro,0,2,2009
Alessia,4,0,2009
Alessio,0,1,2009
Alex,46,73,2009
Alexa,21,0,2009
Alexa-abby,1,0,2009
Alexander,0,321,2009
Alexander-james,0,1,2009
Alexandr,0,1,2009
Alexandra,57,0,2009
Alexandre,0,1,2009
Alexandrea,1,0,2009
Alexandria,4,0,2009
Alexandrina,1,0,2009
Alexei,0,1,2009
Alexi,0,1,2009
Alexia,5,0,2009
Alexis,33,0,2009
Alexis-rose,1,0,2009
Alexius-lee,1,0,2009
Alexsandra,1,0,2009
Alexsey,1,0,2009
Alexx,1,0,2009
Alexyz,1,0,2009
Alexzander,0,4,2009
Aleyah,1,0,2009
Aleyna,2,0,2009
Alfey,0,1,2009
Alfi,0,2,2009
Alfie,0,170,2009
Alfie-john,0,1,2009
Alfred,0,19,2009
Ali,2,18,2009
Ali-abbas,0,1,2009
Ali-asgher,0,1,2009
Ali-hussan,0,1,2009
Ali-muhammad,0,1,2009
Alia,4,0,2009
Aliana,1,0,2009
Alianna,1,0,2009
Alice,39,0,2009
Alicia,24,0,2009
Alicia-jane,1,0,2009
Alicia-louise,1,0,2009
Alicja,12,0,2009
Alick,0,1,2009
Aliehs,1,0,2009
Aliesha-may,1,0,2009
Aliha,1,0,2009
Alika,1,0,2009
Alina,6,0,2009
Alisa,3,0,2009
Alisbha,1,0,2009
Alisdair,0,3,2009
Alise,2,0,2009
Alisha,35,0,2009
Alishba,2,0,2009
Alishia,4,0,2009
Alison,9,0,2009
Alissa,5,0,2009
Alissia,1,0,2009
Alistair,0,37,2009
Alister,0,1,2009
Alivia,1,0,2009
Alix,17,2,2009
Alixe,1,0,2009
Alixs,1,0,2009
Aliya,4,0,2009
Aliyah,3,0,2009
Aliza,4,0,2009
Alizah,1,0,2009
Alla,1,0,2009
Allan,0,19,2009
Allan-james,0,1,2009
Allana,1,0,2009
Allana-jo,1,0,2009
Allanna,1,0,2009
Allannah,2,0,2009
Allegra,3,0,2009
